attr_name,Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control14,Control15
AB451460,4.91506447217957,5.86909892437544,5.91486716276393,6.24516890181984,5.86243839740358,5.39755772462199,5.73179239851529,6.31437885236097,5.35765748807355,6.33203001749659,4.97282376420746,5.17651712002875,5.07620031789295,5.28470593338645,5.41324316319979
ABCA8,10.2955550831484,10.1924464924732,9.87236875644894,9.82726200948711,10.3009359238129,10.2307370145851,9.12646699104912,8.91474296502268,9.32849099114293,9.76008793826483,9.63236184577773,10.744427355117,10.4632988895891,10.5736681985015,9.98249982526981
ADAM23,9.64731107521823,9.34101940124243,9.86386437599311,8.39339891820554,9.37123616978645,9.2185565699432,10.2671826729276,9.65453390606354,9.67339301198925,7.04470302256542,9.8325167613792,8.95493644586412,10.0781430546589,9.11768653103625,9.62164832507678
ADGRB3,8.73935439214482,7.98053729235707,6.43403899998061,6.04943512253403,7.85947212920953,7.67726896967926,9.37387666717117,6.73118196229439,5.72713464865967,8.08780902477877,5.97546856190084,7.74306184941757,8.23104739589369,7.50920988343929,6.80473072413921
ADH1B,7.54033439036229,6.39543948848144,9.14657708328117,7.9224294973032,9.04495856881637,7.05986706548001,4.94345754340199,9.44286615443178,8.60226121334033,8.04668314384792,4.30757851299468,7.23679490554653,7.45339254020307,8.1388527925241,7.10642692600049
AL833212,6.84894551710917,7.00463786097233,8.99136677361891,5.71903196972804,7.95698079365287,5.49946373787279,9.48415033339739,5.40526982851256,9.70370732565879,7.21136540608676,9.85807421447163,6.73074770155164,8.87956865503544,7.94348078645316,10.5596668229696
ALDH1A1,10.032470002732,10.1881931352541,11.1947042149999,8.55385415094929,9.69730784705948,7.8651279720107,10.7204797418445,7.91276887518497,10.4091168302617,11.4818290321131,11.6560650483387,10.2762837072691,10.9731544076201,9.39902106609555,9.96518199435606
ANGPTL7,11.4752366381157,10.3894339461107,10.2655550309531,8.59376045197193,11.2834541388236,11.3051250394839,9.68834407499558,8.19537084270191,10.3195081266209,11.5138219002948,7.65275164477738,12.0083295752309,11.4889331365356,12.6638667968468,10.1558044304112
ANK3,8.47068411716654,8.03610492143845,8.79975338761197,5.42880714714528,7.71343742792221,7.07171443061939,9.16225769605241,6.36333781705255,9.39895070132562,7.56964207311071,10.0079138054877,8.1472554796871,8.973357081629,9.35672433908724,9.5451444136612
ANLN,5.2966581975107,4.87988474627982,5.00673473507548,5.51615444333699,5.77783274132089,5.39487536729725,5.38923760455682,6.00562012546838,4.64387876114807,6.92135649778156,5.80164160406105,5.8252123078895,4.80185324975224,6.30744837550953,6.01682450006954
APOD,12.2949956134884,12.3539789589747,12.5019677849759,11.8056935031286,12.4742082858297,12.654841068964,10.6554516694299,11.4088542308596,12.3235036446267,10.4621045015986,10.6846813177911,12.4690280246645,12.2927180851633,12.5785697549645,11.6789190690974
