attr_name,Tumor1,Tumor2,Tumor3,Tumor4,Tumor5,Tumor6,Tumor7,Tumor8,Tumor9,Tumor10,Tumor11,Tumor12,Tumor13,Tumor14,Tumor15,Tumor16,Tumor17,Tumor18,Tumor19,Tumor20,Tumor21,Tumor22,Tumor23,Tumor24,Tumor25,Tumor26,Tumor27,Tumor28,Tumor29,Tumor30,Tumor31,Tumor32,Tumor33,Tumor34,Tumor35,Tumor36,Tumor37,Tumor38,Tumor39,Tumor40,Tumor41,Tumor42,Tumor43,Tumor44,Tumor45,Tumor46,Tumor47,Tumor48,Tumor49,Tumor50,Tumor51,Tumor52,Tumor53,Tumor54,Tumor55,Tumor56,Tumor57,Tumor58,Tumor59,Tumor60,Tumor61,Tumor62,Tumor63,Tumor64
AB451460,7.78711010437344,10.0942146884725,7.21910484922684,8.6659340818229,5.96124060440676,7.97448814659667,7.37771930982182,8.52020112963791,9.00189397131092,7.97708227910486,7.72747037408077,8.4413296924821,8.56684835700568,8.40781885795268,7.7875011546098,7.09214143976018,7.95981986702758,8.51966963877816,8.5828866809646,8.43052621129314,6.62407349198898,7.84134139204823,7.2951971973687,7.16159767010853,8.57809840680032,6.83517080181935,7.80723673006811,6.09245506900084,5.2347814614163,8.08668634218532,7.81332499543848,8.15674806110637,7.73895911234264,7.30355140812112,7.79487965081133,8.96301665223254,8.93714073047525,5.38576138858391,7.77583243008097,8.55080927960724,8.07942521996382,7.44310859198645,5.58291784229682,7.48548608080687,6.7448063424761,5.37552470247005,8.45746533468587,7.55723490616705,6.70794411020928,7.98216685346098,7.17679320048541,5.93532999290428,5.09342611541992,8.9587041438178,6.74921476986709,8.25700168852453,7.72663226534537,6.84045046236225,7.86934879625056,7.18784660281687,7.94010808343788,6.90144470398223,8.4129674145884,7.42277926170278
ABCA8,6.74490854478191,4.02216183767529,6.14018648920284,5.03994053677549,10.8518359208679,5.12930315687889,8.81667571901857,4.65671081015693,7.74044079797272,8.48844826090729,7.75662135179755,8.27970194925177,5.55122012405274,5.55736908223966,9.86482104571778,8.40249085161894,9.97397295723591,6.656855894319,8.32987265310519,8.80924937677781,9.67564947364738,8.32037337429577,10.3043083328275,8.21838818783226,5.18569439268494,10.9810212608226,7.78846533353761,7.96565397326224,8.81460378189381,5.78101930322191,7.99035107823868,7.01664739238369,6.49909122875138,4.693982283668,4.49769213150594,4.49748676498335,4.18223098053181,6.98945945636151,5.17569585894936,4.1960715669206,8.44192698016866,5.89560102404329,6.78327189366456,7.68274972552161,10.6283883375056,9.92135805825569,4.34658952391325,4.59556812100679,10.3716547716362,7.75769886200128,7.30945603571726,10.3020095309256,7.82039065825397,6.45761588490611,9.92312566350494,4.37252935182026,9.16606546216779,6.62433046287958,7.58032527209488,12.0031770760269,7.93561602188748,4.81134591035246,9.49824941296571,9.79365824004648
ADAM23,7.33158241037523,6.32961306685809,6.58296569596287,7.68750230145976,8.68026106110006,7.34350927654453,6.77684636364536,5.22337867536712,4.84817495207725,6.31472522484625,6.9241093498431,6.91602179068399,8.52805739455817,7.20323845655344,7.73041484390858,7.18579096776156,7.10045371043288,6.06560757738754,7.45633225787544,8.13794726554812,7.65716427181667,5.38435301811723,6.85111792542098,7.19258162632447,7.66014003666267,6.51942169849536,8.33175870114014,6.48434219596862,8.03271944781817,7.42150365066845,6.69354921198459,7.60034919007376,7.20006484876919,7.9297863912789,7.0669772736597,6.6140091603463,6.09459319374403,5.33452939756115,6.99447928571586,6.48903994662368,7.04643965718619,7.52227850262471,7.0023661882761,6.41287452177979,6.85139300037847,7.89614667646731,5.74972860254766,7.22970749881278,5.77111040660773,7.96568768326608,5.05011951211931,6.21301874575852,7.78226229387292,5.2509063284383,10.6738998330958,5.43492825399196,7.03490297927084,5.0184111038082,7.43806489874734,6.60708948217064,7.26161990925489,6.59891430602073,7.08031971827199,8.41357309464394
ADGRB3,5.7928159298258,3.8889914452876,4.51295070231631,7.04164964288132,8.67642067677178,6.76599268085165,4.97441417887809,5.87342322917266,3.84284458805676,4.43963460155609,3.87167317039666,4.79258413806799,3.95606536714899,4.55333786389485,6.19933515982138,5.66415722489591,5.02546693529506,5.09300085442626,5.55476767387162,5.1658764241858,6.06860318329745,3.83319640970323,5.42540528685706,5.3019569871548,4.56460586075813,4.06821431491927,6.46445725487972,4.96002888812784,6.52314904925809,5.45545901713832,4.10098146271601,4.80674186793737,5.63354710799961,4.82083806736075,4.17446928816502,4.06818865579386,3.93748676908333,8.030906853035,5.04493913740298,4.99124879617339,5.36209958388773,5.02114263513185,4.69183662190769,4.13368426624497,4.23025970056582,3.98091210832468,6.11951503706892,6.25383695609562,4.1104164681836,7.39784065116262,8.6594567467493,4.25439469591863,4.98937256852409,4.24350741331143,5.49013914326611,4.21337940760791,4.1358122603433,4.21287990870336,5.022148167913,4.10965314080308,5.40626112715937,4.4653036834546,4.10258078624272,4.84751036684276
ADH1B,4.48079235512932,4.33891938541351,4.37019936510055,4.29994122221003,8.50877127130953,4.32142382903733,4.65064503955218,4.75713876638209,8.95161800148746,5.84124672345089,4.18946891203398,5.33982142864715,4.17136404555912,4.27182682262411,4.62021402859462,6.43857659654446,6.89497946605697,5.39763982983886,4.44637762560822,4.97247985506731,9.1769137047659,11.2280467881438,7.79827716865439,4.37154301857096,4.59925307148794,4.75027543158239,4.55971756957451,10.7616311280163,4.42298383831042,4.46501895099054,4.28335678914632,4.36831778630531,4.60210088989031,4.48469459275045,4.43043719494053,4.47685449717613,4.21053040398662,4.31943546198306,4.43166615128094,4.39797239898587,4.71238558534884,4.29395776778401,4.59508691924859,7.36710609414477,4.74363583994303,5.28677290389208,4.63021018961757,4.3816379969409,9.10295659968921,4.26574523151166,4.61969545280452,4.48193379506679,4.49094597127838,4.41300232247134,7.44382551425666,4.6959286525254,4.77877725016495,6.51054439534582,4.54875904275317,10.968674503322,4.31951459710517,4.85470917637193,4.40158920015458,4.69315887973838
AL833212,4.44235181810693,4.53053879416019,5.52297310750259,4.63899754281856,6.74387210304744,5.1144254153053,4.91890988092808,6.8065467734036,11.0807825369819,5.14859325423723,4.2450352822132,5.21706759184085,4.63243803107412,4.8736314259258,4.58803160161337,6.30682735731242,5.05749885992656,5.19315399526052,3.66860403700075,5.4922625441272,8.1262031802302,4.50938997027697,4.85944855593086,4.92023159187706,5.42999482319625,4.66891590354192,4.34729786013253,7.81601044822067,8.67947546187958,4.78908601036768,4.61277833856975,5.67929508244484,6.36726383753512,4.56523276065563,4.55552398859127,4.63327534613467,4.76581485449165,5.5518434914088,4.58746733079165,4.80452229209547,5.01112701076704,4.65160352836036,4.92138941161712,4.83982269174401,4.33666395194763,6.15429102989235,5.54110616362733,4.96203794614907,4.94207421561809,4.53005938718519,5.03901600652921,4.59227703262181,4.84552508089631,4.74205445845533,6.43773001446944,4.86464652782877,4.63280897275742,4.87989214343856,4.77601243729458,4.85716910869418,5.86298810982746,5.13391358192179,6.9800578913102,6.7708741461696
ALDH1A1,7.93171867583231,5.53774469905925,7.87494080625179,7.77588181185209,10.5360407293832,5.53187505650089,8.46344991329597,7.4688226796018,8.34516340984906,7.83752859977393,4.8091079827317,7.10496259229644,5.90456475230707,6.75316532623283,9.08630001193493,7.42993057662765,7.9106516678735,7.66825358761541,5.71654627468206,8.94610000977602,8.01230804063415,8.84921419810718,8.65398679319345,9.45785772188963,6.38360834623053,9.88591467339756,7.42440269411475,7.88640057815428,8.98745380866631,7.8303933135721,4.98555452896797,6.05013163598097,8.55526923110948,8.64520775057218,5.95470430061852,5.96117188963583,4.67915949411949,5.5591710067949,4.95671102891297,4.81796121269779,7.13263702179704,8.24423913388597,8.37970892425334,7.51386316821675,5.20160172427384,5.00656033603938,5.09741827858079,6.03594904253573,7.60513237257043,5.85762519889361,7.637773094286,5.64331886591472,5.86532000502575,5.99153934593396,7.6169806892954,5.28393423613073,8.17187126081447,7.09029518983575,7.95505963805009,10.1676444480409,9.7661312856465,5.99510278153882,8.56150206837791,9.98158152180589
ANGPTL7,5.54430994140451,5.42169702826316,5.40332313528161,5.60725525487375,11.6564461013429,6.47008487357854,5.25577767173601,5.20149184864036,8.33636035490017,6.08803084163902,5.33893106271522,7.09167345637654,5.27718409104065,5.2320544947035,5.76054877868168,8.32885954477486,5.52753978068514,6.72768573792671,5.25971395217405,7.14360376467091,9.56194308808147,5.20552201634538,7.25179733004877,5.32452675284808,5.65871841152176,5.69257995603672,5.45720820862211,5.77283216316664,6.37462049852245,5.43021149404815,7.0140008242361,5.2408611016496,5.480145802845,5.73596842979088,5.69682214406233,5.6422666472194,5.49841015128846,5.28201618583822,5.42008662589674,5.54945160637312,5.60283383176508,5.2467486827918,5.70909978640255,5.7075517338561,5.58654335870233,5.44702728919916,5.5890318844255,5.41340991475773,9.07177812647913,5.20357398536406,5.53354258276903,6.71551494151726,7.68476897024573,7.8083275798923,7.74222251282382,5.96636095386901,5.27550339516398,5.57745252372009,5.88725540954533,5.76956757708455,8.79475295805145,5.66806466226618,5.02417664599554,5.09008197170013
ANK3,6.38933903855791,6.51649297394599,6.32723536331809,6.31141687811419,7.11874411980059,6.78643957179967,6.90035452205562,6.02156732252835,4.8254592998746,7.01949402295207,6.42843827806432,6.18147943193632,4.7602884687464,6.74249123015468,6.22431774455568,7.12494838619399,5.97879031166718,6.44003866340816,6.42967249912582,6.96114579745375,7.62402591578163,4.97147343044969,5.93730725191213,7.06492319580609,6.03617366376152,5.66304047795693,6.74398434846723,5.47259517739188,8.62972043957545,6.64257161911206,6.86127395608572,6.36638223919173,7.14758183423815,5.95015651594766,4.98538312322634,6.19036292103346,5.91262466128185,5.22075772627216,5.83436543265685,5.78429318530482,6.6392663439599,6.83091424075715,6.71514046809117,5.643877773331,4.96119964067369,6.36540458684935,5.07169540192464,6.79734791570141,4.97975734802167,6.55508610233607,4.69463863769466,5.23030437702306,5.84329600656898,6.36708049268783,5.57648212342131,6.15033831320316,5.73357183382345,6.0606981583175,6.44662644870944,5.77249463197827,6.0471609430842,6.45794865956129,6.66744116888712,6.83840474032675
ANLN,7.26177290847138,9.93556477046454,8.89286938408481,8.35473851950463,6.0550575627356,8.15682522538034,8.09822401071469,7.10741118142281,4.82123439701605,7.15320927550702,8.67342475317466,8.93919391415352,5.69176585036908,8.59692945438792,7.78082870552671,7.10139643951518,7.22253471868909,8.21530985433107,8.22147431334342,8.36848546825148,6.04953245468336,8.21826510134184,7.37095485128749,9.0909414411129,7.54890157613659,6.11013661673526,7.50616365298866,6.46131966249764,6.85183853597361,8.51829470034538,8.13839019522104,8.79010334811353,8.77372949418473,7.93342483665413,6.63339600967272,10.3981613409873,5.84345210266367,7.07376600589222,9.24443585053996,7.47759294554728,7.50039740202988,8.55599459920908,8.75687977682921,8.33546537752859,5.65519858290296,8.90656903940526,5.89337172063756,8.08556640852161,7.81652523073145,8.74509161554291,5.72871557853773,5.57859901394022,8.04023306665318,8.72481243228344,5.01507211421808,5.88714517263948,7.15001734580126,8.88149499824892,8.43987675723827,6.86952049349235,9.27794811352529,8.15988902720949,9.1910931827772,7.62775098694268
