attr_name	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor17	Tumor18
ISG15	26.7072365700433	8.07582860107898	8.19695879553908	5.83074512368584	31.3490522883399	6.88019642945969	6.47674196343089	34.2857987704696	20.9775119428823	13.371166856742	4.53446252042066	8.73859603357001	18.2853644056241	36.2811413277002	69.9068684849746	22.9571069751087	9.32512131133123	32.1491187892124
ACOT7	34.3378755900557	41.1867258655028	73.7726291598517	32.6521726926407	43.1049468964674	20.6405892883791	76.6414465672655	29.3878275175454	37.7595214971881	46.4058143851634	45.3446252042066	22.9388145881213	118.023715709029	44.0005330995513	41.7921496377565	72.0598080052024	75.2226452447386	57.3092987112048
ENO1	236.549809620383	1143.53732991278	329.368707966207	244.891295194805	405.186500826794	326.809330399335	1071.90079494781	314.286488729305	268.512152868893	462.4850653979	454.579867672171	247.957662452549	2119.43996519734	815.167771107477	378.408918538232	500.592471540565	491.123055730111	410.250711505819
MASP2	26.7072365700433	27.4578172436685	9.68731494018255	32.6521726926407	10.1884419937105	24.0806875031089	33.4631668110596	30.2041560596994	14.6842583600176	18.8769414448122	32.8748532730498	77.5550397979338	19.9476702606809	23.1581753155533	12.9175735243975	19.1309224792573	16.1635436063075	14.6767716211622
PLOD1	137.351502360223	483.742133204631	424.006323151067	150.433224191095	340.137217328488	196.085598239601	546.205238916005	164.898365515116	182.504353903076	280.007964764715	125.831334941673	208.633980301484	690.965133751919	481.690046563509	327.498481706783	308.645549332017	328.865944912948	387.187213243993
PDPN	148.797460890241	222.89286938978	1510.47595259616	72.3012395337045	152.826629905657	82.5623571535163	304.406872281252	89.7961396369443	111.180813297276	368.886897400706	60.6484362106264	104.86315240284	172.325706974215	106.527606451545	179.326314809283	1564.27176138727	21.7586163931062	110.425234102077
FHAD1	289.96428276047	172.82273206309	61.849780002704	31.4860236679036	67.4004624199308	405.931589338122	33.4631668110596	29.3878275175454	77.6167941886644	50.3385105194993	20.9718891569456	34.95438413428	34.9084229561916	128.141903412728	18.2365743873847	32.5225682147374	174.06893114485	46.1269965236526
TMEM82	3.81531951000618	3.23033144043159	1.49035614464347	8.16304317316018	2.35117892162549	3.44009821472984	0	3.26531416861616	6.29325358286468	3.93269613433588	3.4008468903155	3.27697351258875	2.7705097584279	2.31581753155533	3.03942906456411	1.27539483195049	1.2433495081775	1.39778777344402
MFAP2	57.2297926500928	32.3033144043159	151.271148681312	15.1599373215832	34.4839575171739	10.3202946441895	2.1589139878103	10.6122710480025	14.6842583600176	40.113500570226	13.603387561262	9.83092053776626	7.20332537191254	28.5617495558491	12.9175735243975	116.698627123469	31.0837377044374	31.4502249024904
PADI4	22.8919170600371	6.46066288086319	12.6680272294695	10.4953412226345	10.972168300919	20.6405892883791	7.55619895733604	13.0612566744646	23.0752631371705	13.371166856742	333.282995250919	41.5083311594575	3.32461171011348	3.85969588592555	4.55914359684617	3.18848707987621	1.2433495081775	4.89225720705406
CDA	22.8919170600371	8.07582860107898	8.19695879553908	4.66459609894868	10.972168300919	13.7603928589194	9.71511294514633	15.5102423009267	18.879760748594	11.0115491761405	283.403907526291	32.7697351258875	2.21640780674232	3.08775670874044	6.07885812912822	8.29006640767815	5.59507278679874	4.19336332033206
C1QC	175.504697460284	211.586709348269	315.955502664415	132.940988820037	738.270181390405	72.2420625093267	102.548414420989	134.694209455416	77.6167941886644	375.965750442511	116.195602085779	26.21578810071	232.722819707944	123.510268349618	537.978944427848	653.639851374624	225.046260980127	166.336745039838
EPHB2	61.0451121600989	113.869183275214	38.7492597607302	24.4891295194805	67.4004624199308	24.0806875031089	25.9069678537236	17.9592279273889	39.8572726914763	71.5750696449131	22.6723126021033	33.8620596300838	32.1379131977637	56.3515599345131	65.3477248881284	47.189608782168	141.120169178146	16.0745593946062
E2F2	49.5991536300804	57.3383830676608	32.7878351821563	25.6552785442177	22.7280629090465	41.2811785767581	36.701537792775	17.1428993852348	60.8347846343586	22.023098352281	548.6699649709	33.8620596300838	59.8430107820427	37.0530805048853	29.6344333795001	15.3047379834058	29.2187134421712	18.8701349414942
RHD	19.0765975500309	4.84549716064739	8.94213686786081	6.99689414842301	3.13490522883399	10.3202946441895	8.63565595124118	7.34695687938635	6.29325358286468	10.2250099492733	264.699249629556	10.9232450419625	3.32461171011348	3.08775670874044	3.79928633070514	1.27539483195049	1.86502426226625	6.29004498049808
FGR	64.8604316701051	17.7668229223738	49.9269308455562	54.8090041626469	33.7002312099654	27.5207857178388	11.8740269329566	75.1022258781716	37.7595214971881	70.7885304180459	408.668434652912	54.6162252098125	57.6266029753003	6.947452594666	24.3154325165129	20.4063173112078	15.5418688522187	23.7623921485483
IFI6	118.274904810192	54.9156344873371	255.596078806355	114.282604424243	446.723995108844	61.9217678651372	89.5949304941273	128.979909660338	46.150526274341	91.2385503165925	96.9241363739917	27.3081126049063	207.788231882093	338.881298784264	478.710077668848	240.411925822666	148.580266227211	159.347806172618
EPB41	495.991536300804	357.759207027799	424.751501223389	562.083829923315	424.779658507006	447.21276791488	406.955286702241	422.858184835792	432.136746023375	412.146554878401	4708.47251964181	488.269053375724	330.798865156291	433.829817578032	486.308650330258	313.747128659819	281.618663602203	308.212204044406
