attr_name	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18
ISG15	0	1.12873450891132	11.3142024901083	13.1989394257591	5.27952226653564	0	4.93420151385412	11.5860245734942	20.9775119428823	13.371166856742	4.53446252042066	8.73859603357001	5.05706283038501	31.1746148611039	12.1260144317874	13.3773458339966	15.6067778215326	9.44805728211361
ACOT7	16.6409276917648	18.0597521425812	28.7206678595057	42.236606162429	32.9970141658478	45.7022204263567	25.9045579477341	20.4983511684898	37.7595214971881	46.4058143851634	45.3446252042066	22.9388145881213	25.285314151925	47.2072739325287	21.2205252556279	18.9512399314951	12.7691818539812	34.6428767010832
ENO1	205.931480185589	356.680104815979	298.520881085165	435.56500105005	234.938740860836	280.742211190477	366.364462403668	206.765977003897	268.512152868893	462.4850653979	454.579867672171	247.957662452549	125.583726954561	370.532565206263	197.805610418531	306.564175362421	185.153136882727	304.699847348164
MASP2	47.8426671138237	92.5562297307286	37.4239005442044	10.5591515406073	27.7174918993121	45.7022204263567	46.8749143816142	79.3197066954606	14.6842583600176	18.8769414448122	32.8748532730498	77.5550397979338	79.2273176760318	23.1582853253915	34.8622914913887	45.1485421897384	94.3500659210834	18.8961145642272
PLOD1	151.848465187354	83.526353659438	248.042131513913	316.774546218218	147.826623462998	124.048884014397	186.266107147993	81.9934046739593	182.504353903076	280.007964764715	125.831334941673	208.633980301484	133.169321200138	162.10799727774	130.354655141714	185.610673446702	141.170399385681	222.02934612967
PDPN	87.364870381765	38.376973302985	46.9974564973729	163.666848879413	55.4349837986242	124.048884014397	118.420836332499	135.467364243933	111.180813297276	368.886897400706	60.6484362106264	104.86315240284	133.169321200138	67.6934494126827	61.3879480609235	246.366119109437	82.9996820508778	107.865320637464
FHAD1	93.6052182661768	16.9310176336699	53.9600426451319	93.7124699228894	42.2361781322851	71.8177749557035	59.2104181662495	23.1720491469885	77.6167941886644	50.3385105194993	20.9718891569456	34.95438413428	27.8138455671175	34.7374279880872	23.494152961588	41.2468163214894	37.5981465700558	14.1720859231704
TMEM82	6.24034788441179	9.0298760712906	6.96258614775895	6.59946971287954	6.59940283316955	26.1155545293467	6.16775189231765	3.56493063799823	6.29325358286468	3.93269613433588	3.4008468903155	3.27697351258875	5.05706283038501	3.5628131269833	5.30513131390697	2.22955763899943	0.709398991887845	5.51136674789961
MFAP2	14.5608117302942	2.25746901782265	35.6832540072646	23.7580909663663	17.1584473662408	26.1155545293467	11.1019534061718	5.34739595699734	14.6842583600176	40.113500570226	13.603387561262	9.83092053776626	1.68568761012834	8.90703281745825	6.06300721589368	15.0495140632461	5.67519193510276	12.5974097094848
PADI4	6.24034788441179	405.215688699166	13.9251722955179	9.23925759803135	18.4783279328747	6.52888863233668	25.9045579477341	8.91232659499557	23.0752631371705	13.371166856742	333.282995250919	41.5083311594575	64.8989729899409	21.3768787618998	16.6732698437076	3.901725868249	38.3075455619436	171.639707291731
CDA	12.4806957688236	211.073353166418	8.70323268469869	6.59946971287954	15.8385667996069	52.2311090586934	11.1019534061718	14.2597225519929	18.879760748594	11.0115491761405	283.403907526291	32.7697351258875	44.6707216684009	17.8140656349165	14.3996421377475	11.705177604747	27.6665606836259	117.313377919577
C1QC	37.4420873064707	80.1401501327041	139.251722955179	179.505576190323	146.506742896364	91.4044408527135	45.6413640031506	100.70929052345	77.6167941886644	375.965750442511	116.195602085779	26.21578810071	62.3704415747484	197.736128547573	200.837114026478	162.200318237208	207.144505631251	86.6071917527081
EPHB2	24.9613915376472	19.1884866514925	36.5535772757345	52.7957577030363	23.7578501994104	32.6444431616834	30.8387594615883	19.6071185089903	39.8572726914763	71.5750696449131	22.6723126021033	33.8620596300838	3.37137522025667	59.6771198769703	18.9468975496678	13.9347352437464	19.1537727809718	16.5341002436988
E2F2	24.9613915376472	586.941944633889	53.9600426451319	39.5968182772772	36.9566558657495	58.7599976910301	29.6052090831247	26.7369797849867	60.8347846343586	22.023098352281	548.6699649709	33.8620596300838	105.355475633021	52.5514936230037	43.1989264132425	20.6234081607447	54.623722375364	187.386469428587
RHD	12.4806957688236	274.282485665452	11.3142024901083	10.5591515406073	13.1988056663391	19.58666589701	16.0361549200259	3.56493063799823	6.29325358286468	10.2250099492733	264.699249629556	10.9232450419625	64.8989729899409	19.5954721984082	13.6417662357608	11.705177604747	26.2477626998503	33.8555385942404
FGR	27.0415074991178	513.574201554653	39.1645470811441	51.4758637604604	59.394625498526	39.1733317940201	72.7794723293483	73.0810780789637	37.7595214971881	70.7885304180459	408.668434652912	54.6162252098125	150.026197301422	41.8630542420538	71.2403347867508	34.5581434044911	82.9996820508778	232.264741518626
IFI6	47.8426671138237	28.2183627227831	104.438792216384	149.148015511078	158.385667996069	78.3466635880401	56.7433174093224	69.5161474409655	46.150526274341	91.2385503165925	96.9241363739917	27.3081126049063	53.0991597190426	334.013730654684	71.2403347867508	56.8537197944854	119.179030637158	81.8831631116513
EPB41	359.860061334413	4686.50568099982	363.795126220405	551.715667996729	756.291564681231	352.559986146181	536.594414631636	692.487776431156	432.136746023375	412.146554878401	4708.47251964181	488.269053375724	1070.41163243149	903.173127690267	1602.14965679991	365.647452795906	773.954300149639	1661.28340543831
PRO0611	52.0028990367649	27.0896282138718	42.6458401550236	9.23925759803135	13.1988056663391	45.7022204263567	30.8387594615883	23.1720491469885	20.9775119428823	15.7307845373435	11.9029641161042	31.6774106216913	62.3704415747484	12.4698459444416	10.6102626278139	12.8199564242467	32.6323536268409	8.66071917527081
