attr_name	ControlSkeletal1	ControlSkeletal2	ControlSkeletal3	ControlSkeletal4	ControlSkeletal5	ControlVastus1	ControlVastus2	ControlVastus3	ControlVastus4	ControlVastus5	ControlVastus6	ControlVastus7	ControlVastus8	ControlVastus9	ControlVastus10	ControlVastus11	ControlVastus12	ControlVastus13
1552301_a_at	8.95623668544071	8.96879231211254	9.12530307356923	8.79836942542155	8.97185448217246	9.14115256807114	9.45730185590041	9.32265460838382	9.06705251936859	9.33021131862381	9.0583702815528	9.22419517330727	9.18164265117258	9.72046481075148	9.50622451594849	9.90301875643657	9.65041598193927	9.92806407157972
1552309_a_at	11.1424740537546	11.1861158096076	11.4436840434904	11.3841433747591	11.448749734929	11.276490072117	11.4596983095556	11.5522983793558	11.2567289460861	11.2567661615314	11.3916442172351	11.2669704647847	11.5031357040602	10.7008169148654	10.4411618726613	11.8921653187619	9.94841033495295	10.7149222997455
1552474_a_at	10.838807573903	10.7980796749158	10.8492335184556	11.248608376589	10.8921505424406	10.5007631673517	11.199660822906	10.7893756691133	10.4552713721485	10.0179640430923	10.9719050909764	10.6097479945334	10.0461322765974	9.91767040738344	9.73233142805839	9.35196717628181	11.1062337282377	10.4881146714326
1552491_at	8.44757462147592	10.0584729651554	9.33260710856654	10.2688439758212	8.96114518222321	10.2604933932859	9.65908180569676	9.50252280575868	10.2115523885974	10.0313057401782	9.08036275683487	10.0362395870554	8.72340409120714	8.19467561647234	9.47899972787087	10.6124539555897	7.9168950611746	8.26375882822683
1552610_a_at	6.53908072961101	6.43931841805847	6.3925839800386	5.81482334389302	6.30055514731183	6.65274129443131	5.81564966453731	6.69877210993783	6.12252031292048	6.13466739088567	6.73404959558331	6.30027304729541	5.83331714640801	6.73712392182809	4.75063985139215	6.91147012526652	5.8166646499608	6.78706931297608
1552611_a_at	5.65101770374216	4.83263322369273	5.44843206679911	5.72854055895977	5.84567166644314	6.12793960516655	5.350724652269	5.63217711456089	6.36053049520203	6.19262343775597	5.63287956155979	5.79193482834146	6.89994523236433	6.55958776237379	6.92015605465379	6.62479608252745	6.14362322891684	6.9282486267849
1552731_at	6.11079174971646	6.62626704284726	6.04442231040504	7.09906179361506	7.15513473469088	8.85550881715111	5.90964043171512	9.04137651739613	7.85541267136092	6.16071235648445	6.80160217993759	7.60745498945597	8.05475065795776	7.8673328447698	7.76783270703158	10.472949094145	7.54958675339608	8.99341247781417
1552732_at	8.68071109116531	9.51600407413368	8.83372116948889	9.11175378667893	9.82768612495635	10.3584430922923	9.52843126911861	11.0516033716314	10.4012934709575	8.86015210594678	8.96126189859939	9.6913875689284	10.4479966333388	9.68983814020175	9.25393895645797	11.4410317763017	9.83271779996947	10.3107665005902
1552791_a_at	10.4221409025949	10.5689154110536	10.0718892057499	8.38004045265915	11.110156777826	10.3488534698932	9.92870884106869	10.6513261332653	9.90189991651887	10.0120832992982	10.4084544737553	10.8153571737329	10.2206519856714	9.06054738745554	6.26766722496076	8.93297352642466	7.25973560125082	9.83239600453349
1553102_a_at	7.90367122373454	7.52755192645241	6.44196863030041	8.50623364089685	8.2455842945915	8.20474030362654	8.65467205592811	7.53570862234304	7.91069194958756	7.96963852715688	8.16222208599646	8.85647455732155	8.75988139039039	8.50513559375953	7.49400017104706	6.51116035587491	8.15977814019151	6.78729424434859
1553301_a_at	6.65057139328578	6.68058769310631	6.29403509288815	5.14552221919747	7.50621990043663	7.64654025779231	6.82080562538011	6.51511429585919	6.7618926765947	7.05071987016626	6.9875520857098	7.85149902377725	7.04084979145721	5.48023330126579	3.71352663673417	5.1822536418137	4.54781665710688	6.58339988998119
1553349_at	3.81719651965325	3.70567019905545	3.88151381868057	3.51318970116091	4.29430336472884	3.77672112456673	3.93926737192536	3.53555991976371	3.98504291749785	3.68875349193032	3.96002327234045	4.08155844561072	4.04488715770547	3.90912467086137	4.48469438607342	4.05087182577459	3.70061248439152	3.65643416162483
1553366_s_at	9.34636123006129	8.81633964001761	8.89844535635737	8.96230072533852	9.77812273924635	9.35070262204591	9.47542725380077	9.32682729677244	8.12570293849369	8.87952447314003	9.64828602541513	9.33996948277938	8.72731371297776	11.5161517401858	10.5017060518983	11.9517486782415	11.1791919438629	11.6120983149951
1553394_a_at	3.25426009549466	3.57389616968988	3.35853182757161	3.16674615347857	3.04111595975703	3.36353651400796	3.48592007293	3.28798264179017	3.22791077826762	3.30354252226933	3.07589815646509	2.99881042151219	3.08927563717205	3.22612388436474	3.38676176495358	3.57452258969346	4.29181399559439	4.13408015551429
