Interaction,name,Pearson,selected,shared interaction,shared name,Weight
11081,5225,0.9469141460508586,false,11081,5225,0.9469141460508586
11081,27134,0.9525037353820431,false,11081,27134,0.9525037353820431
11081,57530,0.8706978426782735,false,11081,57530,0.8706978426782735
11081,105379028,0.7776696697031488,false,11081,105379028,0.7776696697031488
11081,160728,0.979239990009218,false,11081,160728,0.979239990009218
11081,114569,0.9395656437013377,false,11081,114569,0.9395656437013377
11081,83643,0.8907788760427112,false,11081,83643,0.8907788760427112
11081,100419743,0.9428850598449733,false,11081,100419743,0.9428850598449733
11081,284111,0.9688071667259439,false,11081,284111,0.9688071667259439
11081,246,0.9760989748656473,false,11081,246,0.9760989748656473
11081,6496,0.966851215451597,false,11081,6496,0.966851215451597
5225,27134,0.9457672126655343,false,5225,27134,0.9457672126655343
5225,57530,0.84157166979644,false,5225,57530,0.84157166979644
5225,105379028,0.7376110868524602,false,5225,105379028,0.7376110868524602
5225,160728,0.9534174130710241,false,5225,160728,0.9534174130710241
5225,114569,0.8787929882121723,false,5225,114569,0.8787929882121723
5225,83643,0.7888317072512163,false,5225,83643,0.7888317072512163
5225,100419743,0.8826345911865164,false,5225,100419743,0.8826345911865164
5225,284111,0.9799946945318592,false,5225,284111,0.9799946945318592
5225,246,0.9592285096343192,false,5225,246,0.9592285096343192
5225,6496,0.9243110342685597,false,5225,6496,0.9243110342685597
27134,57530,0.7752188946624897,false,27134,57530,0.7752188946624897
27134,105379028,0.8046885053548127,false,27134,105379028,0.8046885053548127
27134,160728,0.9573724164872972,false,27134,160728,0.9573724164872972
27134,114569,0.886101946849545,false,27134,114569,0.886101946849545
27134,83643,0.8104159333152604,false,27134,83643,0.8104159333152604
27134,100419743,0.9135527189188297,false,27134,100419743,0.9135527189188297
27134,284111,0.9469117317968253,false,27134,284111,0.9469117317968253
27134,246,0.96519749606635,false,27134,246,0.96519749606635
27134,6496,0.9402086842298116,false,27134,6496,0.9402086842298116
57530,105379028,0.7289327507194758,false,57530,105379028,0.7289327507194758
57530,160728,0.8420790235061155,false,57530,160728,0.8420790235061155
57530,114569,0.8870760388800897,false,57530,114569,0.8870760388800897
57530,83643,0.8495525598840407,false,57530,83643,0.8495525598840407
57530,100419743,0.8188696508477915,false,57530,100419743,0.8188696508477915
57530,284111,0.8094726846206505,false,57530,284111,0.8094726846206505
57530,246,0.8272245233687685,false,57530,246,0.8272245233687685
57530,6496,0.8407648281157445,false,57530,6496,0.8407648281157445
105379028,160728,0.802085971284715,false,105379028,160728,0.802085971284715
105379028,114569,0.7867677938237032,false,105379028,114569,0.7867677938237032
105379028,83643,0.7960100028039486,false,105379028,83643,0.7960100028039486
105379028,100419743,0.7223290337685252,false,105379028,100419743,0.7223290337685252
105379028,284111,0.7549626329638488,false,105379028,284111,0.7549626329638488
105379028,246,0.7953054537629013,false,105379028,246,0.7953054537629013
105379028,6496,0.746362254476516,false,105379028,6496,0.746362254476516
160728,114569,0.9553063610560117,false,160728,114569,0.9553063610560117
160728,83643,0.8636632139993276,false,160728,83643,0.8636632139993276
160728,100419743,0.9395791307348137,false,160728,100419743,0.9395791307348137
160728,284111,0.967013620586399,false,160728,284111,0.967013620586399
160728,246,0.9957608745230566,false,160728,246,0.9957608745230566
160728,6496,0.9615105884093473,false,160728,6496,0.9615105884093473
114569,83643,0.8852435842602264,false,114569,83643,0.8852435842602264
114569,100419743,0.9559708921887119,false,114569,100419743,0.9559708921887119
114569,284111,0.8893906368422896,false,114569,284111,0.8893906368422896
114569,246,0.9346119675342571,false,114569,246,0.9346119675342571
114569,6496,0.9442931764548987,false,114569,6496,0.9442931764548987
83643,100419743,0.8119808762445202,false,83643,100419743,0.8119808762445202
83643,284111,0.8035725886247835,false,83643,284111,0.8035725886247835
83643,246,0.8449482815710163,false,83643,246,0.8449482815710163
83643,6496,0.8140020741243706,false,83643,6496,0.8140020741243706
100419743,284111,0.9062404464250512,false,100419743,284111,0.9062404464250512
100419743,246,0.9344014269566748,false,100419743,246,0.9344014269566748
100419743,6496,0.9758363904277259,false,100419743,6496,0.9758363904277259
284111,246,0.9702332043933636,false,284111,246,0.9702332043933636
284111,6496,0.9425293571494188,false,284111,6496,0.9425293571494188
246,6496,0.9639274257684648,false,246,6496,0.9639274257684648
