Interaction,name,Pearson,selected,shared interaction,shared name,Weight
200407,7780,0.7536094693322252,false,200407,7780,0.7536094693322252
255928,767567,0.8760766147804818,false,255928,767567,0.8760766147804818
255928,89,0.8286529923407241,false,255928,89,0.8286529923407241
255928,8153,0.8650987649454152,false,255928,8153,0.8650987649454152
767567,89,0.8169084314743008,false,767567,89,0.8169084314743008
767567,8153,0.9027339679303393,false,767567,8153,0.9027339679303393
766,105379028,0.7890795170421091,false,766,105379028,0.7890795170421091
766,4852,0.7894681146691772,false,766,4852,0.7894681146691772
766,606,0.9772071615561103,false,766,606,0.9772071615561103
105379028,4852,0.7845015566145144,false,105379028,4852,0.7845015566145144
105379028,606,0.7775507393235619,false,105379028,606,0.7775507393235619
89,8153,0.8520873057954004,false,89,8153,0.8520873057954004
4852,606,0.7758321726033293,false,4852,606,0.7758321726033293
