attr_name	Primary1	Primary2	Primary3	Primary4	Primary5	Primary6	Primary7	Primary8	Primary9	Primary10	Primary11	Primary12	Primary13	Primary14	Primary15	Primary16	Primary17	Primary18	Primary19	Primary20	Primary21	Primary22	Primary23
722	0	0	1.79895972896238	0	4.91378071090882	6.37509519475349	0	1.83243494040814	1.98850759681434	10.4066125000365	9.71710598214211	10.5694818426921	1.19318652040189	0	0	6.53972845827041	1.0282980956797	0	0	0	10.7904143606083	7.9944196100662	0
1380	8.72027890989859	44.0874234587885	0	0	11.0560065995448	10.6251586579225	41.844793210305	139.265055471019	1.32567173120956	0.946055681821501	15.1154981944433	22.3133505567945	0	11.1849301255521	1.14921879213158	0	8.22638476543757	0	0	2.49026445627802	125.438566942071	175.211029787284	88.5767145784108
255928	0	7.01390827753453	41.3760737661348	0	47.9093619313609	195.502919305774	1.49445690036804	525.908827897137	5.30268692483824	276.248259091878	1307.49059381934	923.068080928447	1.78977978060283	6.99058132847005	65.5054711515	104.635655332327	2.05659619135939	7.29680589954373	5.86631421545893	399.064879118553	4.0464053852281	21.3184522935099	18.6477293849286
406969	0	0	12.5927181027367	0	0.614222588863602	76.5011423370419	10.4611983025763	32.9838289273466	2.65134346241912	11.352668181858	15.1154981944433	5.87193435705119	10.142085423416	2.79623253138802	29.8796885954211	8.99212663012181	9.25468286111727	13.7828555880271	1.46657855386473	1.24513222813901	14.8368197458364	2.66480653668873	6.99289851934822
388743	39.8641321595364	0	4.79722594389968	0	0	106.251586579225	32.8780518080968	1.83243494040814	1.32567173120956	0	0	1.17438687141024	5.36933934180849	0	51.714845645921	20.436651432095	0	9.72907453272498	0	0	0	8.66062124423838	8.15838160590625
56896	0	0	14.391677831699	0	41.7671360427249	2.1250317315845	0	354.576160968976	1.98850759681434	0.946055681821501	41.0277808134889	166.762935740254	24.4603236682387	0	17.2382818819737	0	0	1.62151242212083	17.5989426463768	9.33849171104259	0	0	0
6496	0	16.0317903486504	346.599574446752	0	12.8986743661356	0	29.8891380073607	315.178809750201	1.98850759681434	29.3277261364665	14.0358197519831	81.0326941273064	25.0569169284396	6.99058132847005	5.74609396065789	4.08733028641901	2.05659619135939	38.9162981308999	30.7981496311594	3.73539668441703	16.8600224384504	0	0
6439	17.4405578197972	0	0	0	6.14222588863602	34.000507705352	0	7.32973976163258	10.6053738496765	52.0330625001826	22.6732472916649	16.4414161997433	10.738678683617	16.7773951883281	18.3875006741053	22.0715835466626	15.4244714351955	22.7011739096916	21.2653890310386	18.0544173080157	2.69760359015207	46.6341143920528	36.1299756832991
200407	7.47452477991307	0	0.59965324298746	0	2.45689035545441	0	0	18.3243494040814	13.2567173120956	0	9.71710598214211	11.7438687141024	4.77274608160755	36.3510229080442	0	43.3257010360415	14.3961733395158	6.48604968848332	25.6651246926328	25.5252106768497	41.8128556473571	30.6452751719204	90.9076807515268
9173	34.8811156395943	71.141069672136	34.1802348502852	35.4977796412163	212.521015746806	191.252855842605	1.49445690036804	0	53.0268692483824	88.9292340912211	1.07967844246023	24.662124299615	14.3182382448227	9.78681385985807	27.5812510111579	60.4924882390013	32.9055390617503	4.86453726636249	27.1317032464975	72.8402353461322	74.8584996267199	67.9525666855627	22.1441786446027
55289	0	0	36.5788478222351	214.995986128876	0.614222588863602	12.750190389507	1.49445690036804	16.4919144636733	7.29119452165258	16.0829465909655	1.07967844246023	15.2670293283331	25.0569169284396	27.9623253138802	11.4921879213158	24.523981718514	14.3961733395158	7.29680589954373	32.9980174619565	28.6380412471973	14.8368197458364	19.9860490251655	5.82741543279018
112268422	3.73726238995654	0	175.698400195326	0	25.1831261434077	465.381949217005	26.9002242066247	65.0514403844891	36.4559726082629	42.5725056819676	56.1432790079322	30.5340586566662	51.3070203772812	39.1472554394323	34.4765637639474	26.1589138330816	29.8206447747112	42.1593229751416	32.2647281850241	63.5017436350896	41.138454749819	17.9874441226489	45.4538403757634
654412	0	0	0	0	0	0	0	14.6594795232652	0.66283586560478	9.46055681821501	2.15935688492047	5.87193435705119	2.98296630100472	2.79623253138802	0	1.6349321145676	5.14149047839848	0.810756211060415	3.66644638466183	4.98052891255605	4.72080628276612	0.666201634172183	3.49644925967411
200373	0	0	0	0	43.6098038093157	78.6261740686264	20.9223966051525	53.1406132718362	7.95403038725737	9.46055681821501	83.1352400694381	29.359671785256	17.3012045458274	8.38869759416406	67.8039087357631	13.8969229738246	0	12.1613431659062	5.86631421545893	63.5017436350896	298.085196711804	197.861885349138	33.7990095101831
81615	3.73726238995654	91.180807607949	7.19583891584952	0	54.6658104088606	0	0	21.9892192848977	17.2337325057243	28.381670454645	98.2507382638814	152.670293283331	48.9206473364774	22.3698602511042	3.44765637639474	35.9685065204872	27.7640485833518	53.5099099299874	20.5320997541062	107.081371619955	36.4176484670529	36.6410898794701	19.8132124714866
80122	0	0	20.9878635045611	16.744235679819	17.8124550770445	80.7512058002109	5.97782760147215	11.9108271126529	9.94253798407171	64.3317863638621	31.3106748313468	30.5340586566662	16.7046112856264	19.5736277197161	1.14921879213158	72.7544790982583	8.22638476543757	3.24302484424166	20.5320997541062	30.5057395894058	7.41840987291819	15.9888392201324	18.6477293849286
151531	0	0	1.79895972896238	0	3.68533553318161	27.6254125105985	5.97782760147215	11.9108271126529	3.97701519362868	9.46055681821501	17.2748550793638	3.52316061423072	12.5284584642198	2.79623253138802	11.4921879213158	3.2698642291352	0	0	8.79947132318839	14.9415867376681	6.06960807784215	11.3254277809271	1.16548308655804
3694	0	0	1.79895972896238	0	1.2284451777272	2.1250317315845	0	0	0	1.892111363643	20.5138904067445	25.8365111710252	84.1196496883331	4.19434879708203	19.5367194662368	23.7065156612302	7.19808666975788	2.43226863318124	7.33289276932366	11.2061900532511	2.69760359015207	2.66480653668873	4.66193234623215
6332	102.151838658812	0	11.3934116167617	0	27.0257939099985	123.251840431901	37.3614225092009	7.32973976163258	3.3141793280239	0.946055681821501	2.15935688492047	29.359671785256	2.98296630100472	9.78681385985807	0	3.2698642291352	15.4244714351955	0.810756211060415	0.733289276932366	1.24513222813901	16.1856215409124	0.666201634172183	26.8061109908348
