attr_name	Metastatic1	Metastatic2	Metastatic3	Metastatic4	Metastatic5	Metastatic6	Metastatic7	Metastatic9	Metastatic10
3206	245.348422508215	642.865719875235	233.023549806817	91.8199236427919	799.386988123553	1230.95748663071	212.353668817974	811.444666604616	696.649256543788
3207	0	0	57.663454697958	121.06193754177	0	204.962122413006	30.6606901501887	88.1134386243907	53.7454016278899
222166	0	0	57.663454697958	1.7545208339387	3.74712650682916	97.1496765194596	17.0337167501048	163.410377085234	48.3028293111416
11185	335.045695253154	300.004002608443	451.038803185397	446.233132098409	348.482765135111	30.8035559695848	794.906781671559	862.710667258807	222.465143447089
100129460	39.5723262110024	533.340449081676	170.620633078889	374.882618184902	339.73946995251	75.8241377712856	826.703052938422	36.8474379701998	53.7454016278899
6969	0	0	8.68901372161011	0	178.613030158856	0	139.67647735086	0.801031260221734	1.36064307918709
168374	6321.01957343745	14143.0458372552	2266.25276066358	4219.62260562257	1132.25672614688	1299.67311148594	4267.5138364596	259.534128311842	247.63704041205
441251	2432.37898443628	3128.61317005948	1161.16819734244	1762.70859783041	369.716482007143	847.097789163581	2581.17587819922	709.713696556456	759.238838186394
105180390	8484.30673963891	10209.6600252778	2605.12429580638	2184.37843825368	2108.38318117587	1048.50565511856	1802.16723216109	1152.68398345908	1336.83182530131
641776	7925.01786252341	10157.2783740287	2577.47743396489	2460.42304946004	2090.89659081067	1050.87515942391	1932.75906057856	1308.88507920231	1563.37889798596
105180391	7719.2417662262	8571.5429316698	2441.61285577244	1846.34075758149	1756.7778106184	1016.5173469963	1964.55533184542	1096.61179524355	1342.95471915765
541473	794.084679300781	1538.11575940519	479.475575365212	109.949972260158	459.647518171043	187.190840122861	1203.71598367408	205.865033876986	320.431445148559
222183	0	0	1.57982067665638	0	0	7.10851291605802	0	7.2092813419956	5.44257231674835
105375355	0	0	92.4195095843984	68.4263125236093	0	3.55425645802901	333.860848302055	321.213535348915	42.8602569943932
102723849	7006.93989442816	9709.65335426373	1857.07920540958	1863.88596592088	834.98468993843	1329.29191530285	2803.74977706726	962.038543526302	1113.68636031463
285989	2173.8397865244	6966.7596161294	1607.46753849787	1723.52429920578	2410.65138606009	995.191808248123	3016.10344588523	760.178665950426	749.034015092491
1577	3485.00286164894	6590.564120795	880.750027235934	1194.82868791225	592.670509163478	888.564114507253	1266.17294509113	394.908411289315	232.669966540992
563	0	4.76196829537211	11.8486550749229	415.236597365492	591.421466994535	21.3255387481741	42.0165013169253	17.6226877248781	12.9261092522773
10071	32523.1758352825	81796.3294096068	1004.76595035346	7428.64121089645	7366.22619134165	129.137984641721	14041.4605076698	2853.27334890982	864.688676823394
375612	1200.36056173374	0	85.3103165394447	0.584840277979566	0	1.18475215267634	3.40674335002097	51.266000654191	19.0490031086192
222256	0	2638.13043563615	411.543286268988	1303.60897961645	841.229900783146	358.97990226093	1709.04958059385	334.030035512463	104.089195557812
4233	21593.2993358036	6261.98830841433	1778.87808191509	4076.33673751758	8871.9465260025	1215.55570864592	6339.94937438902	881.134386243907	874.893499917297
1080	1931.12951909692	719.057212601189	635.877822354194	1235.76750737082	938.030668876232	0	1103.78484540679	376.484692304215	148.990417170986
1180	0	0	7.89910338328192	0	0	0	0	4.00515630110867	4.08192923756126
100506380	0	0	0	0	9.36781626707289	5.92376076338169	0	20.8268127657651	6.80321539593543
9228	0	0	0	0	0	0	0	0	9.52450155430961
285	5276.31016146699	1785.73811076454	1167.48748004907	1327.58743101362	1698.07282867808	1402.74654876878	992.497895972775	487.027006214814	723.181796587936
101929066	0	0	0.789910338328192	0	0	0	0	1.60206252044347	2.04096461878063
6440	60841.1324718758	2438.12776723052	13708.8939216858	31236.3192468886	4169.30275993191	1.18475215267634	31895.066824013	49325.9029419339	5062.27257611556
157310	0	542.864385672421	89.2598682310856	262.008444534846	0	30.8035559695848	166.930424151027	338.836223073793	19.7293246482128
56892	205.776096297212	0	314.38431465462	707.071896077296	692.593882678922	4.73900861070535	1998.62276534563	227.492877902972	168.719741819199
6101	0	980.965468846655	619.289705249302	804.740222499883	362.222228993485	27.2492995115558	3156.91550435276	541.497131909892	34.0160769796772
107984125	0	128.573143975047	191.158301875422	253.235840365152	841.854421867617	73.4546334659329	925.49861008903	261.136190832285	2.72128615837417
195814	617.328288891637	0	86.1002268777729	326.340875112598	71.8199247142255	0	441.741054386052	106.537157609491	36.7373631380513
137872	3250.20705946366	1404.78064713477	82.9405855244601	37.4297777906922	404.689662737549	260.645473588794	212.353668817974	148.991814401243	191.170352625786
79848	4822.54748758082	8281.0628656521	3278.91781440032	1969.74205623518	9659.46761352109	2819.71012336968	4166.44711707564	1875.21418017908	1398.74108540432
646480	0	0	0	0	147.38697593528	336.46961136008	3.40674335002097	44.0567193121954	0
79977	667.453235425574	1323.82718611345	306.485211271338	776.083048878884	359.724144655599	0	640.467749803942	256.330003270955	54.4257231674835
100506753	0	0	0	0	0	0	0	0	0.680321539593543
9699	0	0	7.89910338328192	0	0	0	0	13.6175314237695	38.778327756832
93035	7748.26147211427	0	363.358755630968	354.413208455617	158.003834371296	4.73900861070535	434.92756768601	274.753722256055	62.589581642606
114569	3178.97687228386	1742.88039610619	364.148665969296	2610.72700090078	719.448289311198	18.9560344428214	3167.13573440283	420.54141161641	84.3598709095994
641384	2097.33328918313	7376.2888895314	119.276461087557	48.541743072304	1809.86210279848	274.86249942091	0	50.4649693939692	2.72128615837417
100302161	532.907326308166	1295.25537634121	14.2183860899074	0	68.6973192918679	29.6188038169084	131.727409534144	13.6175314237695	4.08192923756126
100302170	812.551764865916	9738.22516403597	52.9239926679888	149.134270884789	1576.9157382906	143.355010473837	307.742482618561	56.8732194757431	7.48353693552898
102723635	0	0	16.588117104892	34.5055764007944	2.4980843378861	13.0322736794397	0	27.235062847539	5.44257231674835
100133669	0	0	2.36973101498457	0	0	0	0	2.4030937806652	46.9421862319545
4062	0	0	0	0	0	34.3578124276138	0	0.801031260221734	0
83481	121.355133713741	2990.51608949369	261.460321986631	973.759062835978	548.954033250471	177.712822901451	3482.8272848381	607.181695248074	102.728552478625
58524	0	0	0.789910338328192	5.84840277979566	83.061304234713	0	0	0	0
6505	2419.18820903261	5842.93509842158	705.389932127075	563.201187694322	2784.11499457406	326.991594138669	1422.88313919209	1215.16442175637	370.775239078481
401492	0	0	0	0	0	52.1290947177588	0	0	0.680321539593543
