genes;condiciones
85452,3855,127733,149465,100996301,27022,9173,80122,1906,177,345895,6969,56892,6101,107984125,109729127,85349,767566,728276,644649,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,100129940,653082,55507;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,341676,1999,1767,222256,10595,116844;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,6751;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9
85452,1152,1999,653082,345895,222256,6101,3240,3880;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,21,127733,149465,9173,80122,1906,177,345895,6969,56892,107984125,3855,109729127,85349,728276,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,146556,127733,149465,100996301,27022,9173,177,345895,6969,56892,107984125,55507,85349,767566,644649,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,123872;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,400578,127733,149465,9173,80122,1906,345895,56892,107984125,85349,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,3880,149465,9173,653082,1906,345895,222256,56892,6101,83481,22941,85349,9365,3240,116844;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
85452,284340,117156,177,7356,109729127,728276;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
54897,127733,1580,7433,177,745,22941,113218482,255189,21,201456,1556;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
