Interaction,name,Pearson,selected,shared interaction,shared name,Weight
2537,632,0.9523262470600646,false,2537,632,0.9523262470600646
2537,390083,0.9134869066165529,false,2537,390083,0.9134869066165529
2537,24150,0.9067075949900781,false,2537,24150,0.9067075949900781
2537,285429,0.858575978884062,false,2537,285429,0.858575978884062
2537,654433,0.8843235422784568,false,2537,654433,0.8843235422784568
2537,2277,0.8847171711726896,false,2537,2277,0.8847171711726896
2537,89765,0.7867263034310483,false,2537,89765,0.7867263034310483
2537,196335,0.8010836260505708,false,2537,196335,0.8010836260505708
2537,85349,0.8556337490595733,false,2537,85349,0.8556337490595733
632,390083,0.9170793882700982,false,632,390083,0.9170793882700982
632,24150,0.880927555157246,false,632,24150,0.880927555157246
632,285429,0.9062979017695816,false,632,285429,0.9062979017695816
632,654433,0.8650412243587383,false,632,654433,0.8650412243587383
632,2277,0.8327714509657365,false,632,2277,0.8327714509657365
632,89765,0.8011714546883927,false,632,89765,0.8011714546883927
632,196335,0.7920660206651531,false,632,196335,0.7920660206651531
632,85349,0.7545030758202912,false,632,85349,0.7545030758202912
390083,24150,0.9118778244150456,false,390083,24150,0.9118778244150456
390083,285429,0.9686182309819976,false,390083,285429,0.9686182309819976
390083,654433,0.9008245804590465,false,390083,654433,0.9008245804590465
390083,2277,0.9003610801735884,false,390083,2277,0.9003610801735884
390083,89765,0.9055525498869105,false,390083,89765,0.9055525498869105
390083,196335,0.940241546856586,false,390083,196335,0.940241546856586
390083,85349,0.7851803965664408,false,390083,85349,0.7851803965664408
24150,285429,0.8919809400265376,false,24150,285429,0.8919809400265376
24150,654433,0.8824256682673032,false,24150,654433,0.8824256682673032
24150,2277,0.8258827049800318,false,24150,2277,0.8258827049800318
24150,89765,0.9386520468276435,false,24150,89765,0.9386520468276435
24150,196335,0.8926526721030732,false,24150,196335,0.8926526721030732
24150,85349,0.7645983671086141,false,24150,85349,0.7645983671086141
285429,654433,0.839637682917286,false,285429,654433,0.839637682917286
285429,2277,0.8256538106740705,false,285429,2277,0.8256538106740705
285429,89765,0.8864319249720386,false,285429,89765,0.8864319249720386
285429,196335,0.9445039769270535,false,285429,196335,0.9445039769270535
654433,2277,0.9087793762365802,false,654433,2277,0.9087793762365802
654433,89765,0.8563863465962227,false,654433,89765,0.8563863465962227
654433,196335,0.8300096105199377,false,654433,196335,0.8300096105199377
2277,89765,0.7992521694032949,false,2277,89765,0.7992521694032949
2277,196335,0.8006777358148764,false,2277,196335,0.8006777358148764
2277,85349,0.816872194768319,false,2277,85349,0.816872194768319
89765,196335,0.901996397410654,false,89765,196335,0.901996397410654
