Interaction,name,Pearson,selected,shared interaction,shared name,Weight
730,8436,0.828524655029421,false,730,8436,0.828524655029421
730,5346,0.9635539429076843,false,730,5346,0.9635539429076843
730,100874095,0.962144368945153,false,730,100874095,0.962144368945153
730,1579,0.9124210593859204,false,730,1579,0.9124210593859204
730,563,0.8842908212546582,false,730,563,0.8842908212546582
730,9370,0.9618111085329922,false,730,9370,0.9618111085329922
730,63924,0.9110681556358097,false,730,63924,0.9110681556358097
730,66002,0.9395616268652519,false,730,66002,0.9395616268652519
730,3240,0.9631771899751139,false,730,3240,0.9631771899751139
730,56892,0.845701883285308,false,730,56892,0.845701883285308
730,4629,0.8490042965665019,false,730,4629,0.8490042965665019
730,1048,0.9611582395281393,false,730,1048,0.9611582395281393
8436,5346,0.8939518594634313,false,8436,5346,0.8939518594634313
8436,100874095,0.8524958394519427,false,8436,100874095,0.8524958394519427
8436,1579,0.8887728114620504,false,8436,1579,0.8887728114620504
8436,563,0.8110137996434291,false,8436,563,0.8110137996434291
8436,9370,0.8539119828861316,false,8436,9370,0.8539119828861316
8436,63924,0.8965172206031655,false,8436,63924,0.8965172206031655
8436,66002,0.8365886889718939,false,8436,66002,0.8365886889718939
8436,3240,0.8541483371512785,false,8436,3240,0.8541483371512785
8436,56892,0.8590190667759705,false,8436,56892,0.8590190667759705
8436,4629,0.840620632931844,false,8436,4629,0.840620632931844
8436,1048,0.8491342278148725,false,8436,1048,0.8491342278148725
5346,100874095,0.9913055701595591,false,5346,100874095,0.9913055701595591
5346,1579,0.9502031309741169,false,5346,1579,0.9502031309741169
5346,563,0.9292308378471079,false,5346,563,0.9292308378471079
5346,9370,0.9916522870253316,false,5346,9370,0.9916522870253316
5346,63924,0.9613636708605874,false,5346,63924,0.9613636708605874
5346,66002,0.9742631000059688,false,5346,66002,0.9742631000059688
5346,3240,0.9892814747667985,false,5346,3240,0.9892814747667985
5346,56892,0.891439936444197,false,5346,56892,0.891439936444197
5346,4629,0.9093059085630585,false,5346,4629,0.9093059085630585
5346,1048,0.9865841196930432,false,5346,1048,0.9865841196930432
100874095,1579,0.9303683370562078,false,100874095,1579,0.9303683370562078
100874095,563,0.9177297932070076,false,100874095,563,0.9177297932070076
100874095,9370,0.999953311512206,false,100874095,9370,0.999953311512206
100874095,63924,0.9489541689011236,false,100874095,63924,0.9489541689011236
100874095,66002,0.9649950926620111,false,100874095,66002,0.9649950926620111
100874095,3240,0.9848789074445811,false,100874095,3240,0.9848789074445811
100874095,56892,0.8672687441790038,false,100874095,56892,0.8672687441790038
100874095,4629,0.910658608384825,false,100874095,4629,0.910658608384825
100874095,1048,0.9815106338599557,false,100874095,1048,0.9815106338599557
1579,563,0.8953232099350908,false,1579,563,0.8953232099350908
1579,9370,0.93077182728117,false,1579,9370,0.93077182728117
1579,63924,0.9197661796307668,false,1579,63924,0.9197661796307668
1579,66002,0.952079240778473,false,1579,66002,0.952079240778473
1579,3240,0.9383332452328658,false,1579,3240,0.9383332452328658
1579,56892,0.8110406561209543,false,1579,56892,0.8110406561209543
1579,4629,0.8964348817923784,false,1579,4629,0.8964348817923784
1579,1048,0.939150989118076,false,1579,1048,0.939150989118076
563,9370,0.9184426825153126,false,563,9370,0.9184426825153126
563,63924,0.9025665134210119,false,563,63924,0.9025665134210119
563,66002,0.8915130607116121,false,563,66002,0.8915130607116121
563,3240,0.9108430291595201,false,563,3240,0.9108430291595201
563,56892,0.9097707872743808,false,563,56892,0.9097707872743808
563,4629,0.8235688731537125,false,563,4629,0.8235688731537125
563,1048,0.9100838344801615,false,563,1048,0.9100838344801615
9370,63924,0.9503103055052082,false,9370,63924,0.9503103055052082
9370,66002,0.9643349824315182,false,9370,66002,0.9643349824315182
9370,3240,0.984262316139309,false,9370,3240,0.984262316139309
9370,56892,0.8674373310114338,false,9370,56892,0.8674373310114338
9370,4629,0.9122606751844757,false,9370,4629,0.9122606751844757
9370,1048,0.9807914415327966,false,9370,1048,0.9807914415327966
63924,66002,0.9124680569697213,false,63924,66002,0.9124680569697213
63924,3240,0.9199944107272392,false,63924,3240,0.9199944107272392
63924,56892,0.9162638677827137,false,63924,56892,0.9162638677827137
63924,4629,0.9596794650629146,false,63924,4629,0.9596794650629146
63924,1048,0.9138940101528896,false,63924,1048,0.9138940101528896
66002,3240,0.9849243827189967,false,66002,3240,0.9849243827189967
66002,56892,0.8416546767314358,false,66002,56892,0.8416546767314358
66002,4629,0.8788486098897121,false,66002,4629,0.8788486098897121
66002,1048,0.9865136673256524,false,66002,1048,0.9865136673256524
3240,56892,0.8598194815126388,false,3240,56892,0.8598194815126388
3240,4629,0.8632797482679883,false,3240,4629,0.8632797482679883
3240,1048,0.9994160772358499,false,3240,1048,0.9994160772358499
56892,4629,0.8208057239242887,false,56892,4629,0.8208057239242887
56892,1048,0.8551760498577097,false,56892,1048,0.8551760498577097
4629,1048,0.8586266495203515,false,4629,1048,0.8586266495203515
