Interaction,name,Pearson,selected,shared interaction,shared name,Weight
102723849,1556,0.8616932999713048,false,102723849,1556,0.8616932999713048
102723849,56955,0.8501806571924839,false,102723849,56955,0.8501806571924839
102723849,89,0.8784841232953657,false,102723849,89,0.8784841232953657
102723849,6440,0.8756081961620884,false,102723849,6440,0.8756081961620884
102723849,100158262,0.8569571730807397,false,102723849,100158262,0.8569571730807397
102723849,3880,0.8613678500970895,false,102723849,3880,0.8613678500970895
3240,649946,0.9549496228693827,false,3240,649946,0.9549496228693827
3240,28824,0.9325535342153473,false,3240,28824,0.9325535342153473
3240,730,0.8904949126411298,false,3240,730,0.8904949126411298
3240,4629,0.9480796294499354,false,3240,4629,0.9480796294499354
3240,168374,0.8733990227451477,false,3240,168374,0.8733990227451477
3240,4179,0.9026710715071385,false,3240,4179,0.9026710715071385
1556,56955,0.8946480454623603,false,1556,56955,0.8946480454623603
1556,6440,0.87654234811963,false,1556,6440,0.87654234811963
1556,100158262,0.8777597892797857,false,1556,100158262,0.8777597892797857
1556,3880,0.8567813693802658,false,1556,3880,0.8567813693802658
56955,6440,0.8919385633108534,false,56955,6440,0.8919385633108534
56955,100158262,0.860777636472239,false,56955,100158262,0.860777636472239
56955,3880,0.8826324426728323,false,56955,3880,0.8826324426728323
649946,28824,0.9346470403773118,false,649946,28824,0.9346470403773118
649946,730,0.8564117559144492,false,649946,730,0.8564117559144492
649946,4629,0.9597513066781265,false,649946,4629,0.9597513066781265
649946,168374,0.8557970447285584,false,649946,168374,0.8557970447285584
649946,4179,0.9443591928199496,false,649946,4179,0.9443591928199496
28824,730,0.8987115867203179,false,28824,730,0.8987115867203179
28824,4629,0.9587933586764683,false,28824,4629,0.9587933586764683
28824,168374,0.8942094336188763,false,28824,168374,0.8942094336188763
28824,4179,0.8722390990742845,false,28824,4179,0.8722390990742845
6440,100158262,0.8757866618926751,false,6440,100158262,0.8757866618926751
6440,3880,0.9056354732195117,false,6440,3880,0.9056354732195117
644649,93035,0.8572483860771494,false,644649,93035,0.8572483860771494
644649,168374,0.8808635383944405,false,644649,168374,0.8808635383944405
730,4629,0.8734183885106761,false,730,4629,0.8734183885106761
730,4179,0.9000986548519594,false,730,4179,0.9000986548519594
93035,168374,0.9040034248406768,false,93035,168374,0.9040034248406768
100158262,3880,0.9149284783981434,false,100158262,3880,0.9149284783981434
4629,4179,0.9097731146683626,false,4629,4179,0.9097731146683626
