genes;condiciones
113219467,127733,4574;Primary1,Primary3,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary15,Primary16,Primary17,Primary21,Primary22
113219467,2537,632,285429,9622,4693;Primary1,Primary2,Primary3,Primary4,Primary6,Primary7,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary23
113219467,149465,4574;Primary1,Primary3,Primary7,Primary8,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary23
113219467,84842;Primary1,Primary2,Primary5,Primary6,Primary8,Primary9,Primary10,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,105371242;Primary2,Primary4,Primary6,Primary7,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary20,Primary21,Primary23
113219467,1513;Primary1,Primary2,Primary3,Primary4,Primary5,Primary6,Primary7,Primary9,Primary10,Primary12,Primary13,Primary14,Primary17,Primary18,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,6097,1513,4852,54769,1152,284266,54,2696,164312,1471,4318,109729184;Primary1,Primary2,Primary3,Primary4,Primary5,Primary6,Primary7,Primary9,Primary10,Primary12,Primary13,Primary17,Primary18,Primary19,Primary21,Primary23
113219467,632,285429,9622;Primary1,Primary2,Primary3,Primary4,Primary5,Primary6,Primary7,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary20,Primary23
113219467,7203,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary9,Primary11,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,284680,4574;Primary1,Primary3,Primary5,Primary6,Primary7,Primary8,Primary10,Primary11,Primary12,Primary13,Primary17,Primary18,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,1510;Primary2,Primary3,Primary4,Primary6,Primary7,Primary10,Primary11,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22,Primary23
113219467,79098;Primary1,Primary2,Primary3,Primary5,Primary10,Primary11,Primary13,Primary14,Primary15,Primary17,Primary18,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,406969;Primary1,Primary2,Primary5,Primary8,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary15,Primary16,Primary17,Primary18,Primary21,Primary22
113219467,200407;Primary1,Primary2,Primary3,Primary4,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary17,Primary18,Primary19,Primary20,Primary23
113219467,654433,89765;Primary1,Primary3,Primary4,Primary5,Primary6,Primary7,Primary9,Primary10,Primary11,Primary13,Primary14,Primary15,Primary17,Primary18,Primary19,Primary23
113219467,3694,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary10,Primary11,Primary14,Primary15,Primary17,Primary18,Primary19,Primary20,Primary21,Primary22
113219467,406903,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary9,Primary11,Primary12,Primary15,Primary16,Primary17,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,105374373,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary10,Primary11,Primary12,Primary13,Primary17,Primary18,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,10568;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary11,Primary13,Primary14,Primary16,Primary17,Primary18,Primary21,Primary22
113219467,116984,4574;Primary1,Primary2,Primary4,Primary6,Primary8,Primary9,Primary11,Primary12,Primary13,Primary15,Primary16,Primary18,Primary19,Primary20,Primary21,Primary22
113219467,84525;Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,57575;Primary1,Primary2,Primary3,Primary5,Primary6,Primary8,Primary9,Primary10,Primary11,Primary13,Primary14,Primary15,Primary17,Primary18,Primary21,Primary22
113219467,84851,4574;Primary1,Primary2,Primary4,Primary6,Primary8,Primary9,Primary10,Primary11,Primary12,Primary13,Primary14,Primary16,Primary17,Primary19,Primary21,Primary22
113219467,80736,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary9,Primary10,Primary11,Primary13,Primary14,Primary15,Primary17,Primary18,Primary19,Primary20,Primary23
113219467,5225,4574;Primary2,Primary3,Primary4,Primary6,Primary7,Primary9,Primary10,Primary11,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,79632;Primary2,Primary4,Primary7,Primary8,Primary9,Primary10,Primary11,Primary13,Primary14,Primary15,Primary16,Primary17,Primary18,Primary19,Primary20,Primary21
113219467,4852;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary12,Primary13,Primary14,Primary16,Primary17,Primary18,Primary19,Primary21,Primary23
113219467,222183;Primary1,Primary2,Primary3,Primary5,Primary7,Primary8,Primary9,Primary10,Primary11,Primary13,Primary14,Primary16,Primary17,Primary19,Primary21,Primary22
113219467,375612;Primary1,Primary2,Primary3,Primary4,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary11,Primary13,Primary16,Primary17,Primary18,Primary19,Primary20,Primary21,Primary23
113219467,1180,4574;Primary2,Primary4,Primary5,Primary6,Primary7,Primary8,Primary9,Primary11,Primary13,Primary15,Primary18,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,100506380;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary10,Primary11,Primary13,Primary15,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,285;Primary1,Primary2,Primary3,Primary6,Primary8,Primary9,Primary10,Primary12,Primary13,Primary14,Primary15,Primary16,Primary17,Primary18,Primary19,Primary20,Primary22,Primary23
113219467,6440,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary8,Primary9,Primary10,Primary11,Primary14,Primary16,Primary19,Primary20,Primary21,Primary22,Primary23
113219467,102723635,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary8,Primary10,Primary11,Primary13,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,4062;Primary1,Primary2,Primary3,Primary6,Primary7,Primary8,Primary9,Primary10,Primary11,Primary13,Primary14,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,54769,2696;Primary1,Primary2,Primary3,Primary4,Primary5,Primary6,Primary7,Primary8,Primary9,Primary10,Primary11,Primary13,Primary17,Primary18,Primary19,Primary21,Primary22,Primary23
113219467,286207;Primary2,Primary3,Primary5,Primary6,Primary8,Primary9,Primary10,Primary12,Primary13,Primary14,Primary15,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
113219467,399726,4574;Primary1,Primary2,Primary3,Primary5,Primary6,Primary7,Primary9,Primary10,Primary11,Primary14,Primary15,Primary16,Primary17,Primary18,Primary19,Primary21,Primary22
