genes;condiciones
113219467,4582,54897,22996,277,57111,115019,7851,10018,112268422,57669,3694,130367,100130449,54861,776,64332,51554,51208,645843,84239,3248,100506658,153643,57528,80736,647024,114327,5340,340267,168374,105180390,641776,105180391,102723849,285989,1577,10071,222256,157310,79977,100302161,100302170,6505,8395,65217,3983,4583,745,378938,109136579,692072,7225,23584,259294,121512,3856,113218482,2065,54997,10129,9365,341676,1152,255189,117155,55930,112268155,79838,55567,100652781,10595,440352,80004,999,3993,2627,3909,201456,116844,148213,163131,1556,112268252,54854,94059,79818,692213,57186,7113,5625;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,632,84842,163479,406969,6496,1746,406903,419,57575,10586,100874002,222166,100506380,102724057,1515,219793,196335,65998,89,363,5053,100506686,103504738,5694,8153,100423031,2208,3780,5675,388555,9622,26609,57526,340596,30848,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9
113219467,112770,9208,54861,100129460;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,7203,57710,130271,57669,54861,649946,6103;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,2327,1580,21;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic9,Metastatic10
113219467,57710,163479,56955,441151,1515,65998,100506686,5694,100506755,340596,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,1999,1579,5961,100129460,222256,83481,6337,3856,9365,3880,116844,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,1510,54897,10103,1579,277,57111,1999,3694,9208,153643,647024,222256,157310,6101,79977,83481,3983,4583,745,22941,6337,3856,9365,341676,1152,55567,100652781,10595,80004,999,218,3880,55808,2627,126353,27134,116844,1555,164312,57186,26226;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,5284,54897,1043,10103,22996,277,57111,112268422,79083,54861,51554,3248,100506658,153643,80736,647024,340267,10551,541473,285989,222256,157310,79977,100302170,6505,595135,3983,745,7225,23584,3856,113218482,10129,9365,341676,688,1152,255189,117155,55930,112268155,55567,100652781,10595,999,218,2627,201456,116844,1556,1555,57186,102723508;Metastatic1,Metastatic2,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,79098,84842,163479,632,57710,406969,6496,1746,406903,419,57575,10586,100874002,441151,222166,222183,285,101929066,9699,4062,102724057,1515,10529,399726,390083,196335,84867,1132,65998,89,64137,107984498,363,3229,11081,5053,606,100506686,103504738,24150,93517,284111,124944,100506755,6928,8153,100423031,2208,3780,84518,5675,388555,4861,4606,9622,7125,23562,26609,102466759,57526,340596,30848,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7,Metastatic9
113219467,4179,54897,112770,222256,6337,1152,3880;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7
113219467,255928,54897,10103,22996,277,57111,115019,1510,388743,10018,112268422,57669,3694,79083,100130449,54861,51365,51554,200879,2266,3248,100419743,100506658,153643,57528,135656,80736,647024,5961,25901,5340,340267,10551,168374,285989,10071,641384,100302170,83481,6505,595135,3983,4583,4586,745,22941,7225,259294,3856,113218482,2065,10129,9365,341676,1152,255189,117155,55930,112268155,55567,100652781,10595,999,218,3993,55808,2627,201456,126353,27134,116844,148213,1556,1555,1048,112268252,54854,100529240,94059,164312,57186,92086,26226,389852,102723508;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,388743,54897,10103,22996,277,57111,1999,1510,3694,79083,9208,54861,200879,2266,3248,100419743,100506658,153643,135656,80736,647024,340267,10551,285989,222256,157310,79977,100302170,83481,3983,4583,4586,745,22941,6337,3856,113218482,9365,341676,1152,255189,55930,112268155,55567,100652781,10595,80004,999,218,3880,55808,2627,201456,126353,27134,116844,1556,1555,1048,112268252,54854,100529240,164312,57186,26226;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,6262,54897,1999,130271,55289,57669,115677,9208,54861,64332,645843,84239,306,100506658,780,80736,5961,340267,441251,222256,83481,595135,219790,7225,6337,3856,9365,8796,255189,440352,3880,3909,116844,9454,1556,57186,26226,4574;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,116228,276,277,278,7203,26769,57710,1999,57669,115677,130367,9208,54861,201625,64332,51554,645843,84239,153643,5961,114327,340267,168374,441251,285989,222256,4233,79977,595135,378938,109136579,7225,3856,10129,9365,28984,8796,112268155,79838,10595,3909,116844,1556,57186,7113,26226;Metastatic2,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,105373265,84842,440590,163479,284680,6496,406903,105374373,419,10586,222166,100506380,102723635,102724057,2619,84867,65998,89,363,103504738,57524,253982,6928,7473,100423031,3780,388555,57526,158798,4574;Metastatic1,Metastatic2,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,165186,84842,163479,6496,406903,419,10586,441151,222166,222183,4062,102724057,1515,84867,65998,89,64137,107984498,363,3229,103504738,93517,6928,100423031,3780,84518,388555,4861,4606,7125,23562,57526,340596,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7,Metastatic9,Metastatic10
113219467,6439,177,6440,3855,21,124944;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic9
113219467,200407,276,278,112770,57710,1999,130367,9208,54861,441151,222256,1132,65998,649946,28984,79838,253982,3219,9454,4861,6103,4574;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,55289,54897,130271,57669,115677,54861,84239,306,100506658,5961,541473,83481,595135,7225,6337,9365,440352,503645,3880,3909,9454,26226;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,10018,276,277,278,26769,1999,112268422,9208,100130449,54861,51554,25901,5340,340267,100129460,541473,285989,222256,641384,100302170,6505,595135,4583,143884,5544,10129,9365,117155,55329,112268155,55567,10595,116844,148213,163131,54854,100529240,94059,57186;Metastatic1,Metastatic2,Metastatic5,Metastatic6,Metastatic9,Metastatic10
113219467,654433,54112,6496,100130701,401089,57110,116984,7060,441151,3207,222183,4062,401492,399726,4892,390083,1132,101928580,64137,107984498,3229,11081,4604,105369937,29895,24150,284111,8153,8313,3780,84518,4606,128674,57186,7125,23562,26609,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7
113219467,200373,1043,276,277,278,7203,1999,5284,57669,130367,9208,54861,64332,645843,79740,100506658,80736,340267,285989,222256,79977,6505,2619,728643,65998,378938,109136579,259290,10129,28984,688,79838,440352,116844,163131,57186,4574;Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,80122,278,9208,54861,441151,222183,285989,10129,23562;Metastatic1,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,3694,54897,10103,22996,277,1513,57111,26769,79083,54861,8999,3248,153643,647024,5961,100129460,222256,157310,83481,745,22941,6337,3856,9365,341676,1152,55567,10595,999,218,3880,55808,2627,27134,116844,1555,100529240,164312,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic10
113219467,6332,54897,9411,722,130271,57669,115677,79083,9223,131873,84239,3248,653082,93035,8395,7225,55507,54997,100820829,6532,79148,79818,2277;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,8436,54897,163720,57402,130271,115677,306,219790,6337,79839,54,57186,5625;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,692058,276,277,278,7203,26769,1999,10018,130367,9208,100130449,54861,64332,285335,645843,114327,5340,100129460,285989,222256,65217,4583,378938,109136579,619383,121512,10129,9365,28984,79838,55567,10595,116844,148213,94059,57186;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic9,Metastatic10
113219467,130367,276,277,278,7203,57710,1999,57669,9208,54861,64332,100130701,645843,114327,285989,222256,378938,109136579,10129,9365,28984,79838,116844,57186;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,1286,1579,7203,57710,1999,55289,130367,9208,201625,79740,306,26797,168090,100129460,441251,4233,83481,649946,6337,28984,1910,3880,9454,6103,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic10
113219467,79083,54897,256076,653082,55507;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,9208,6496,441151,222166,222183,1132,65998,23562,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,51185,276,278,26769,57710,116228,692058,441151,100129460,222183,4233,285,10529,1132,65998,109136579,619383,649946,28984,6103;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic9,Metastatic10
113219467,79188;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7
113219467,54861,9208,1132,57186;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,776,54897,22996,277,57669,54861,64332,51554,51208,645843,84239,3248,100506658,80736,5961,340267,168374,105180391,541473,285989,6505,595135,378938,7225,23584,259290,121512,10129,9365,1152,255189,117155,112268155,440352,3993,2627,3909,163131,1556,57186,26226;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,201625,7203,1999,130367,9208,54861,100130701,645843,79740,80736,222256,65998,28984,79838,6103,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,64332,7203,57710,57669,9208,54861,378938,109136579;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,55081,9411,278,7203,80122,130367,9208,54861,64332,645843,101927516,441151,100129460,105180391,222183,285989,222256,1132,649946,107984406,28984,6751,116844,23562,6103;Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,285335,276,277,278,7203,1999,130367,9208,54861,64332,100130701,645843,114327,285989,222256,378938,109136579,121512,10129,79838,116844,57186;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,51365,54897,10103,22996,277,57111,1999,1510,388743,3694,79083,54861,200879,2266,3248,100419743,100506658,153643,135656,80736,647024,5961,340267,10551,285989,222256,157310,79977,100302170,83481,3983,4583,4586,745,22941,6337,3856,113218482,9365,341676,1152,255189,55930,112268155,55567,100652781,10595,80004,999,218,3880,55808,2627,201456,126353,27134,116844,1556,1555,1048,112268252,54854,100529240,164312,57186,26226;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,131873,54897,130271,55289,115677,306,219790,6337,503645;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,26084,10103,22996,277,7203,57669,3694,130367,9208,100130449,54861,64332,645843,84239,306,100506658,79908,80736,647024,5340,340267,100129460,285989,222256,79977,83481,65217,378938,109136579,22941,121512,2065,10129,9365,341676,1152,55930,79838,55567,100652781,999,3993,2627,116844,9454,148213,100529240,57186,4128;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,25976,130271,115677,131873,2324,26797,441151,100506380,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic10
113219467,79740,22996,57669,9208,54861,100506658,80736,285989,10129,9365,116844,57186;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,2122,84842,163479,7203,6496,406903,56955,441151,222166,222183,100506380,102724057,1515,84867,65998,89,103504738,6928,84518,4861,7125,23562,340596,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7,Metastatic9,Metastatic10
113219467,27074,7203,1999,57669,115677,9208,54861,84239,306,100506658,222256,79977,83481,7225,6337,3856,9365,8796,3880,116844,9454,1556,57186;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,4585,440590,6496,9208,441151,222166,222183,399726,1132,65998,64137,28984,606,57524,8153,8313,3780,23562,6103,102466759;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic9
113219467,10568,4070,6097,79098,722,165186,200373,81615,10203,54842,33,79188,9223,11148,131873,2122,27074,56955,101927516,2160,1161,84059,353189,79908,79632,155465,375612,1080,6440,93035,693188,474354,653509,144571,120892,144535,253970,100033436,2595,825,123624,146177,93517,9914,124944,361,1528,3249,107985317,100505495,4861,9476,391253,128602,728226,56241,6523,4128;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7
113219467,116984,7203,1999,57669,9208,54861,100130701,79740,100506658,80736,100129460,83481,649946,116844,6103;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,285429,84842,163479,632,406969,6496,1746,406903,9208,419,57575,10586,100874002,441151,222166,222183,101929066,4062,102724057,1515,399726,219793,390083,196335,84867,1132,65998,89,64137,107984498,363,3229,11081,5053,606,103504738,24150,5694,284111,6928,8153,8313,100423031,2208,3780,84518,5675,388555,4606,9622,7125,23562,26609,57526,340596,30848,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7,Metastatic9
113219467,8999,54897,22996,1999,54861,51554,79740,100506658,153643,80736,5961,340267,285989,222256,83481,595135,3983,745,6337,3856,9365,1152,255189,3880,2627,116844,1556,57186,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic10
113219467,56955,84842,163479,406903,441151,1515,65998,89,100506686,5694,340596,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,101927516,6496,10203,9208,64332,441151,222183,1132,112268155,23562,6103;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,2266,54897,10103,22996,277,57111,112268422,79083,54861,3248,100506658,80736,647024,5961,10551,285989,222256,157310,83481,745,22941,7225,6337,10129,9365,341676,1152,55930,55567,10595,999,3880,2627,201456,27134,116844,54854,100529240,164312,57186,92086,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,1767,85452,22996,276,278,80122,79740,107984125,2696;Metastatic1,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,730,9411,6262,115677,10203,79083,9223,256076,131873,200879,221395,105180391,93035,8395,5787;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,1161,276,278,163479,7203,57710,1999,130367,9208,64332,100130701,56955,57575,441151,222183,1180,101929066,102724057,1515,84867,1132,28984,100126311,100506686,79838,5694,124944,100506755,84518,7125,23562,54084,84700,6103,340596,4574;Metastatic2,Metastatic4,Metastatic5,Metastatic7,Metastatic9,Metastatic10
