Interaction,name,Pearson,selected,shared interaction,shared name,Weight
654412,1381,0.7936707655826655,false,654412,1381,0.7936707655826655
654412,6532,0.7701471049027363,false,654412,6532,0.7701471049027363
654412,11081,0.8419549642522574,false,654412,11081,0.8419549642522574
654412,246,0.8414363602074729,false,654412,246,0.8414363602074729
654412,56896,0.8289604100866648,false,654412,56896,0.8289604100866648
654412,4586,0.7566189019690716,false,654412,4586,0.7566189019690716
654412,160728,0.8459212353532625,false,654412,160728,0.8459212353532625
654412,27134,0.8338495578084029,false,654412,27134,0.8338495578084029
654412,100419743,0.8412390619533794,false,654412,100419743,0.8412390619533794
654412,6496,0.8454809199954431,false,654412,6496,0.8454809199954431
654412,5225,0.7918500178918326,false,654412,5225,0.7918500178918326
1381,6532,0.8415566644269216,false,1381,6532,0.8415566644269216
1381,11081,0.9704751930087716,false,1381,11081,0.9704751930087716
1381,246,0.9833386897415303,false,1381,246,0.9833386897415303
1381,56896,0.9754734698932126,false,1381,56896,0.9754734698932126
1381,4586,0.7922786246309802,false,1381,4586,0.7922786246309802
1381,160728,0.9409399466112178,false,1381,160728,0.9409399466112178
1381,27134,0.9392467673160482,false,1381,27134,0.9392467673160482
1381,100419743,0.9857311083828009,false,1381,100419743,0.9857311083828009
1381,6496,0.9607492683784252,false,1381,6496,0.9607492683784252
1381,5225,0.9435749436904028,false,1381,5225,0.9435749436904028
6532,11081,0.845187021105509,false,6532,11081,0.845187021105509
6532,246,0.8681931924830154,false,6532,246,0.8681931924830154
6532,56896,0.8742682192472236,false,6532,56896,0.8742682192472236
6532,4586,0.8951639797767303,false,6532,4586,0.8951639797767303
6532,160728,0.8184582619185998,false,6532,160728,0.8184582619185998
6532,27134,0.8774897651483646,false,6532,27134,0.8774897651483646
6532,100419743,0.8671506421498354,false,6532,100419743,0.8671506421498354
6532,6496,0.8423751101392377,false,6532,6496,0.8423751101392377
6532,5225,0.826005456081307,false,6532,5225,0.826005456081307
11081,246,0.9819499112643175,false,11081,246,0.9819499112643175
11081,56896,0.9844364798235434,false,11081,56896,0.9844364798235434
11081,4586,0.7899162311055226,false,11081,4586,0.7899162311055226
11081,160728,0.9436881844303097,false,11081,160728,0.9436881844303097
11081,27134,0.9560603582325032,false,11081,27134,0.9560603582325032
11081,100419743,0.981075369863069,false,11081,100419743,0.981075369863069
11081,6496,0.9751048977329202,false,11081,6496,0.9751048977329202
11081,5225,0.952796724731398,false,11081,5225,0.952796724731398
388323,157310,0.7710705292226947,false,388323,157310,0.7710705292226947
388323,58524,0.7644810329449786,false,388323,58524,0.7644810329449786
246,56896,0.9913940880415542,false,246,56896,0.9913940880415542
246,4586,0.8223581006903178,false,246,4586,0.8223581006903178
246,160728,0.960650431360778,false,246,160728,0.960650431360778
246,27134,0.9679902567489145,false,246,27134,0.9679902567489145
246,100419743,0.9969613318936754,false,246,100419743,0.9969613318936754
246,6496,0.9866321950569978,false,246,6496,0.9866321950569978
246,5225,0.9696563669287229,false,246,5225,0.9696563669287229
157310,58524,0.9233928494613054,false,157310,58524,0.9233928494613054
56896,4586,0.8334180396856181,false,56896,4586,0.8334180396856181
56896,160728,0.9470770302520888,false,56896,160728,0.9470770302520888
56896,27134,0.9531455102801389,false,56896,27134,0.9531455102801389
56896,100419743,0.9859182260412149,false,56896,100419743,0.9859182260412149
56896,6496,0.981448729508771,false,56896,6496,0.981448729508771
56896,5225,0.9473762525339765,false,56896,5225,0.9473762525339765
4586,160728,0.7927821670156457,false,4586,160728,0.7927821670156457
4586,27134,0.7866654471307936,false,4586,27134,0.7866654471307936
4586,100419743,0.8060697268104591,false,4586,100419743,0.8060697268104591
4586,6496,0.7902712664934208,false,4586,6496,0.7902712664934208
4586,5225,0.7608382022078439,false,4586,5225,0.7608382022078439
160728,27134,0.9300714172233694,false,160728,27134,0.9300714172233694
160728,100419743,0.9635678241847458,false,160728,100419743,0.9635678241847458
160728,6496,0.9443554746040714,false,160728,6496,0.9443554746040714
160728,5225,0.9297369320988994,false,160728,5225,0.9297369320988994
27134,100419743,0.9650577546023528,false,27134,100419743,0.9650577546023528
27134,6496,0.9608116740947712,false,27134,6496,0.9608116740947712
27134,5225,0.9580413964971312,false,27134,5225,0.9580413964971312
100419743,6496,0.9858695307475671,false,100419743,6496,0.9858695307475671
100419743,5225,0.9632477160504197,false,100419743,5225,0.9632477160504197
6496,5225,0.9554469040255142,false,6496,5225,0.9554469040255142
