attr_name	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor17	Tumor18	Tumor19	Tumor20	Tumor21	Tumor22	Tumor23	Tumor24	Tumor25	Tumor26	Tumor27	Tumor28	Tumor29	Tumor30	Tumor31	Tumor32	Tumor33	Tumor34	Tumor35	Tumor36	Tumor37	Tumor38	Tumor39	Tumor40	Tumor41	Tumor42	Tumor43	Tumor44
1552301_a_at	4.08332844178131	4.2562145019838	4.27288813637392	4.89785452480402	3.85118359048092	4.57044442579615	4.49285842303131	5.81934153495517	4.65579288436597	3.83961954208963	5.41314722567355	4.51956600646789	4.67410303475089	4.55562745574648	7.28827227625709	5.00456792160446	3.90584447269234	4.18279969986715	4.84771237601348	4.08367876703988	4.51436350816667	6.44387567723035	4.50109611346186	5.19919556087606	4.43534653636657	6.67068315695579	4.44352804059322	5.29316886893814	5.8450044576758	3.88620568650939	4.37141195113576	4.5546738653655	4.44468577260965	4.44186140045736	4.69340520334195	3.92464854379266	4.95924473972552	5.37718285666952	5.24131511692035	4.19280408552344	4.85807692407307	4.66041247496997	4.13490070197695	4.41914151442087
1552309_a_at	3.23115847931191	4.51240386933959	4.33991553674224	4.71025013439044	3.42379761962039	6.00187038725767	4.4029352967817	4.79878013214271	3.6680761617972	4.35220651664132	3.02139348386648	3.5639614336401	4.77386200806594	4.38640111347081	7.72080644216732	5.42800400950056	4.2022438683788	3.41336244345302	6.1509222484161	3.07359212724317	3.48755205841377	5.4032941451489	5.52145452522118	4.56332080041789	4.23803678954584	6.85585113952948	4.01452485989053	5.96867800409933	6.67356458148382	4.35123938955281	3.41653764738468	6.14622802104885	4.75122649877814	5.60650399727861	4.03751399037716	4.1744871169616	5.18433259621952	4.86064125632345	5.14280085811703	3.77208372061838	3.86969911340732	4.46987763695221	4.38793589701659	4.61736835383415
1552347_at	6.37720170804713	5.86756580774873	7.63714044876108	7.74801654036924	8.157953609419	7.29016037902032	7.63627980298871	7.66899488573742	6.44884832322022	7.82690015231242	7.46748842198964	6.94888800737717	7.37112411203137	7.76420270888587	7.11579703534145	7.56060405642192	7.57194987168799	7.71527084106796	8.09975163473043	7.4269752711083	7.37594362259391	8.20287956507715	7.60634938755606	7.49923877882153	6.7698824611125	6.77547029401311	7.94252984656257	7.10849777182334	7.83365711869431	5.99761418237475	7.61297056518972	6.86212060435438	6.54875201857656	7.18466579118127	7.46670195263496	7.56006009468479	8.07831361637028	7.10691426800631	7.45068693794813	7.31481670504944	7.50394996501234	7.88149534705959	7.68008213815116	7.20521680863088
1552411_at	5.28909319971181	6.44745112226784	4.96924518864381	4.7618614255629	4.88178242617377	4.89431021109255	5.0103543334984	5.08013255664761	5.129245703913	4.9425229461404	4.768799473292	5.43759209055512	5.26553616381996	5.05812376357531	5.36709620552964	5.27606896742773	5.2335892433837	4.79947289011121	4.85103044378812	4.95152642572399	5.23550262387011	4.78887916065609	4.97509849568841	5.0423956823047	5.00676016375361	5.15665605934931	5.10718799238378	4.8764282426193	4.60925416575055	4.38075772701552	4.74153741776649	5.30052747785304	5.0176194084933	4.62321700450392	4.8764282426193	5.08230685274137	5.06055325026262	5.08089618181405	4.99381916746936	5.06389976152123	5.01770476799428	4.68434906238713	5.23178828918692	4.75139768527895
1552474_a_at	6.32943215005559	6.40795321226366	6.69369989848311	6.84858802202564	7.86446108434035	5.75792032016194	7.30724692081587	7.46210513592676	7.35829419337969	7.19205380007326	7.42128202254294	6.83148839842948	6.89562526097611	7.03558191144488	8.11201415874105	6.7773250567951	6.22729294765989	7.29625485899109	6.64305829935097	7.2907837327479	7.53007592305119	7.71251235262948	6.87493212586855	6.64871858341385	6.96836600377855	7.06165566251945	7.37134591361789	7.04907003461701	7.59094873953259	6.72000437536747	7.08918209921829	6.89186537121456	6.97366785488799	6.77921678206681	6.95101352101334	7.02874900579191	7.01518708382526	6.97206529097062	6.5695316664853	6.77504807713117	6.98264823715533	7.20284955985845	7.14953529549178	6.89879786749822
1552491_at	4.59834067690905	4.91944452126298	4.45766857733572	4.54118952112981	4.61348467974353	4.36328259712277	4.44727058785268	4.55678744570922	4.75522014412715	4.51015801000347	4.51156246792207	4.70321111998	4.4382201522245	4.68801217269967	4.5672031113909	4.65764593380694	4.71669991538181	4.69764628399337	4.32694826312766	4.45227373207109	4.60261651129877	4.49949226178701	4.50468712187052	4.47276710102596	4.87281029767372	4.71669991538181	4.77639274375857	4.82774415816096	4.47728008077206	4.79241530488074	4.5835803377151	4.26146726233094	4.41719072993714	4.48127718872253	4.46002232927116	4.30482349828582	4.43954843175919	5.02393911243423	4.28859084529319	4.53106971041439	4.43918376567562	4.55410719583062	4.37029658605668	4.10396337254699
1552509_a_at	3.13421762688263	3.89611459136743	3.09197422600455	4.45962027329734	3.20929393211573	3.18126883217151	3.41410763069869	3.39380559050993	3.22327222555186	3.48995071093745	3.14768996092954	3.51407105811534	3.60218693548556	3.18725411352141	3.00639473785597	3.1677066910949	4.52416035355484	3.00190875834994	3.12609614821624	3.07419358979174	3.18349892381095	3.04977239722632	3.40284869041855	3.29611155272055	3.55768220694647	3.22506836791661	3.14288856711511	3.12946557126249	3.08776961314658	3.27804761016427	3.31525454365845	3.35339091830903	3.4561211331336	3.39015622581115	3.87799724260442	3.41388255603971	3.14406812075545	3.39832513112328	3.06008701722653	2.89291814613581	3.26584126998302	3.29464538267865	3.03611169118341	3.03091615201149
1552610_a_at	6.10522739539387	8.45958606639845	7.33768933964028	9.68885021915236	10.9654309218064	6.80569221350554	8.78085701342064	9.32772163248882	7.13704895126405	9.5141523096404	11.0415279569181	10.5612721924062	9.81846433420554	8.95680356888148	9.37270404403555	9.1979771532991	11.3041367100749	9.28297935183537	9.8301834270668	11.5409887820725	10.3688150035574	8.32787493210557	9.42611491515792	10.6768453278156	8.18843059144044	8.58010572388002	10.7926457013526	10.3047766224232	8.91171289750582	10.0699261340714	9.29453630654828	7.98991274302858	8.51414671421538	8.27152423243594	9.70495087296819	10.8294696871697	9.22006113025334	8.66233714750552	10.7490949822182	12.0372113674155	11.7093069686887	10.6557809226868	10.2756997976041	9.60320754389874
1552611_a_at	6.81138102464909	9.60605585882189	7.55942743311497	10.243480696234	10.7353823599754	6.77589366760929	8.94593080818566	9.27564607746683	7.15547576022217	8.9851063621157	10.91229158542	9.09192731177172	9.60170466349465	9.48251439098462	8.50444992650116	9.48486441357	10.009447142572	7.78747644363301	8.56501739174591	10.3593627416299	9.68207700134472	9.25522654864443	9.04055807468138	10.4773854073897	8.14979330870429	8.24909115788408	9.98454331698526	10.0058560217268	9.21785071692709	9.33045643244076	8.34429309034447	8.31495651937999	8.70842545834567	7.4640058689566	8.70824144219801	10.073637186071	9.40850016978904	8.41967620988654	9.2531590044711	11.1373145966663	10.6236180160566	9.87136831525543	8.49490402314427	8.02512430702371
1552628_a_at	8.65295926794319	7.63392496160045	7.74559368955381	8.58295401900435	8.60879054084641	8.12034329108233	8.26458245266613	8.36262027380521	7.95751213120439	8.68466922281166	7.95727015733163	7.52913576819376	8.17542158955124	8.05451419700117	7.03785587620861	7.54593147647474	8.36677730976037	8.16619392174987	8.44998591917062	7.05417227144114	8.97612803371527	7.78346135929246	8.73032277206816	9.02975775314678	8.02410392657788	8.34501006878221	8.24602284424907	8.16797372073255	7.92483467126745	8.45617326932412	8.13765036493555	7.98509589953524	8.3313770831788	8.45817904860909	7.93143927729485	8.74799255996072	8.26103693912252	8.17071038841827	8.40650579011096	7.81419370144548	8.64663956600857	8.5358455656637	8.27873452487023	8.1663494525358
