Interaction,name,Pearson,selected,shared interaction,shared name,Weight
3664,253650,0.9828971405745245,false,3664,253650,0.9828971405745245
3664,2625,0.9098727711013034,false,3664,2625,0.9098727711013034
3664,56896,0.8394666946933413,false,3664,56896,0.8394666946933413
3664,105372863,0.8800363145096729,false,3664,105372863,0.8800363145096729
3664,58,0.934726560657254,false,3664,58,0.934726560657254
3664,10874,0.8382638733523952,false,3664,10874,0.8382638733523952
3664,374946,0.9120157107089847,false,3664,374946,0.9120157107089847
3664,11075,0.9226112100597084,false,3664,11075,0.9226112100597084
3664,100289137,0.9103177525722191,false,3664,100289137,0.9103177525722191
3664,1995,0.869905887768542,false,3664,1995,0.869905887768542
3664,53820,0.924706600332246,false,3664,53820,0.924706600332246
3664,27237,0.8860065755549745,false,3664,27237,0.8860065755549745
3664,100506411,0.9154286967099465,false,3664,100506411,0.9154286967099465
253650,2625,0.9368235950591424,false,253650,2625,0.9368235950591424
253650,56896,0.8957753823875989,false,253650,56896,0.8957753823875989
253650,105372863,0.9154437127578249,false,253650,105372863,0.9154437127578249
253650,58,0.958121523599673,false,253650,58,0.958121523599673
253650,10874,0.8801573649844318,false,253650,10874,0.8801573649844318
253650,374946,0.9476539542168931,false,253650,374946,0.9476539542168931
253650,11075,0.8934605992465772,false,253650,11075,0.8934605992465772
253650,100289137,0.8934636253193678,false,253650,100289137,0.8934636253193678
253650,1995,0.9027261620962812,false,253650,1995,0.9027261620962812
253650,53820,0.9452606626858429,false,253650,53820,0.9452606626858429
253650,27237,0.8395174321841532,false,253650,27237,0.8395174321841532
253650,100506411,0.8963910181649163,false,253650,100506411,0.8963910181649163
2625,56896,0.9223899306097645,false,2625,56896,0.9223899306097645
2625,105372863,0.967231434515366,false,2625,105372863,0.967231434515366
2625,100996301,0.7163299295900923,false,2625,100996301,0.7163299295900923
2625,58,0.9434260854407603,false,2625,58,0.9434260854407603
2625,10874,0.927956923805696,false,2625,10874,0.927956923805696
2625,374946,0.9212483775960096,false,2625,374946,0.9212483775960096
2625,11075,0.8068230861769121,false,2625,11075,0.8068230861769121
2625,100289137,0.733410729139009,false,2625,100289137,0.733410729139009
2625,1995,0.8106375419098075,false,2625,1995,0.8106375419098075
2625,53820,0.9390457128519002,false,2625,53820,0.9390457128519002
2625,27237,0.7913426019856274,false,2625,27237,0.7913426019856274
2625,100506411,0.8604396285859585,false,2625,100506411,0.8604396285859585
56896,105372863,0.9729248893966708,false,56896,105372863,0.9729248893966708
56896,100996301,0.8033684011680196,false,56896,100996301,0.8033684011680196
56896,58,0.8666824127726457,false,56896,58,0.8666824127726457
56896,10874,0.96158427540498,false,56896,10874,0.96158427540498
56896,57405,0.7417940526793703,false,56896,57405,0.7417940526793703
56896,374946,0.853308782432608,false,56896,374946,0.853308782432608
56896,11075,0.7470456391701996,false,56896,11075,0.7470456391701996
56896,100289137,0.7546844631087443,false,56896,100289137,0.7546844631087443
56896,1995,0.8619954388318527,false,56896,1995,0.8619954388318527
56896,53820,0.9048098319467989,false,56896,53820,0.9048098319467989
56896,27237,0.7901599295023269,false,56896,27237,0.7901599295023269
56896,10481,0.8048445294420443,false,56896,10481,0.8048445294420443
56896,100506411,0.887892959998966,false,56896,100506411,0.887892959998966
105372863,100996301,0.7842214968962605,false,105372863,100996301,0.7842214968962605
105372863,58,0.9083424122260998,false,105372863,58,0.9083424122260998
105372863,10874,0.9487717418711491,false,105372863,10874,0.9487717418711491
105372863,57405,0.7194985119099231,false,105372863,57405,0.7194985119099231
105372863,374946,0.8896203132020213,false,105372863,374946,0.8896203132020213
105372863,11075,0.7925842629994515,false,105372863,11075,0.7925842629994515
105372863,100289137,0.7314482389958906,false,105372863,100289137,0.7314482389958906
105372863,1995,0.8199052407314198,false,105372863,1995,0.8199052407314198
105372863,53820,0.9462011719110153,false,105372863,53820,0.9462011719110153
105372863,27237,0.8276798017591251,false,105372863,27237,0.8276798017591251
105372863,10481,0.8023311552918792,false,105372863,10481,0.8023311552918792
105372863,100506411,0.8949261534636933,false,105372863,100506411,0.8949261534636933
100996301,10874,0.8051828794508107,false,100996301,10874,0.8051828794508107
100996301,57405,0.7470919194449507,false,100996301,57405,0.7470919194449507
100996301,10481,0.8879369468315823,false,100996301,10481,0.8879369468315823
58,10874,0.8252535149455238,false,58,10874,0.8252535149455238
58,374946,0.929617552059911,false,58,374946,0.929617552059911
58,11075,0.8304180951443965,false,58,11075,0.8304180951443965
58,100289137,0.7706370593779246,false,58,100289137,0.7706370593779246
58,1995,0.8002707285401144,false,58,1995,0.8002707285401144
58,53820,0.9131752109607786,false,58,53820,0.9131752109607786
58,27237,0.7570487493026579,false,58,27237,0.7570487493026579
58,100506411,0.797764060512508,false,58,100506411,0.797764060512508
10874,374946,0.8384416833256877,false,10874,374946,0.8384416833256877
10874,11075,0.7449258791690493,false,10874,11075,0.7449258791690493
10874,100289137,0.7377767281700353,false,10874,100289137,0.7377767281700353
10874,1995,0.9038150265094315,false,10874,1995,0.9038150265094315
10874,53820,0.8802155501708735,false,10874,53820,0.8802155501708735
10874,27237,0.7924264150148989,false,10874,27237,0.7924264150148989
10874,10481,0.7713171452488737,false,10874,10481,0.7713171452488737
10874,100506411,0.908446807716636,false,10874,100506411,0.908446807716636
57405,10481,0.8717110848557694,false,57405,10481,0.8717110848557694
374946,11075,0.8064336999299111,false,374946,11075,0.8064336999299111
374946,100289137,0.7609512023782244,false,374946,100289137,0.7609512023782244
374946,1995,0.8474849400625887,false,374946,1995,0.8474849400625887
374946,53820,0.9571198544094962,false,374946,53820,0.9571198544094962
374946,27237,0.7109169574494201,false,374946,27237,0.7109169574494201
374946,100506411,0.8005688601511752,false,374946,100506411,0.8005688601511752
11075,100289137,0.8390826631915278,false,11075,100289137,0.8390826631915278
11075,1995,0.7677491998044899,false,11075,1995,0.7677491998044899
11075,53820,0.8043628994593537,false,11075,53820,0.8043628994593537
11075,27237,0.8250966714235988,false,11075,27237,0.8250966714235988
11075,100506411,0.8538180180557408,false,11075,100506411,0.8538180180557408
100289137,1995,0.8474725620983516,false,100289137,1995,0.8474725620983516
100289137,53820,0.8067223930268916,false,100289137,53820,0.8067223930268916
100289137,27237,0.8508385275602358,false,100289137,27237,0.8508385275602358
100289137,100506411,0.8951928832751739,false,100289137,100506411,0.8951928832751739
1995,53820,0.827579659155446,false,1995,53820,0.827579659155446
1995,27237,0.7551890171326647,false,1995,27237,0.7551890171326647
1995,100506411,0.8736187770233402,false,1995,100506411,0.8736187770233402
53820,27237,0.8182196457107873,false,53820,27237,0.8182196457107873
53820,100506411,0.8904317046766425,false,53820,100506411,0.8904317046766425
27237,100506411,0.9348266318732261,false,27237,100506411,0.9348266318732261
