genes;condiciones
27237,2328,105374986;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
27237,58,2019,134285,389336,285987,4004,4973,25818,5653,5650,28809,729442;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
27237,102467080,58,389336,4973,25818,5653,5650;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
27237,1749,389336,285987,4004,3227,25818,5653,5650,729442;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
27237,3227,2019,134285,389336,285987,4004,25818,5653,5650,28809,729442;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
27237,105371927,2328;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
148645,3239,56203,3670,345643,5307,100506895,105375894,100192378,1690,100506071,101929690,6362,106481742,9758,8471;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
148645,9312,3239,56203,3670,345643,5307,105375894,283078,1690,100506071,101929690,6362,106481742,9758,8471;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
148645,283078,3239,56203,3670,345643,5307,100506895,105375894,1690,100506071,101929690,6362,106481742,9758,8471;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
148645,4321,3239,56203,3670,345643,5307,105375894,1690,100506071,6362,106481742,9758,8471;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
3604,6664,3627,4547,7180,27299,2625,387978,105372115;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
3604,4001,6664,4547,27299,2625,387978,105372115,389903;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
3604,5083,4547,27299,387978;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
3604,101060400,6664,27299,2625,387978;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
374946,56300,3229,387895,4496;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
374946,5798,101928658,168002,63898,100533990,344,57167,7477;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
374946,2250,5798,387895,109729169;Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control15,Control16,Control17
