Interaction,name,Pearson,selected,shared interaction,shared name,Weight
6662,105371927,0.8523275791338641,false,6662,105371927,0.8523275791338641
5265,101929215,0.8824890152121879,false,5265,101929215,0.8824890152121879
5265,10437,0.9362464356075128,false,5265,10437,0.9362464356075128
5265,4973,0.9110599130513956,false,5265,4973,0.9110599130513956
101929215,10437,0.8891288644422273,false,101929215,10437,0.8891288644422273
101929215,4973,0.9053568153604478,false,101929215,4973,0.9053568153604478
9096,54854,0.8762992863989985,false,9096,54854,0.8762992863989985
55355,29128,0.8733949986038283,false,55355,29128,0.8733949986038283
55355,11004,0.8500982195769071,false,55355,11004,0.8500982195769071
29128,11004,0.8632408514944128,false,29128,11004,0.8632408514944128
10437,4973,0.8697159451798433,false,10437,4973,0.8697159451798433
3512,103695435,0.8604911109674943,false,3512,103695435,0.8604911109674943
