Interaction,name,Pearson,selected,shared interaction,shared name,Weight
89958,1995,0.7764789481385462,false,89958,1995,0.7764789481385462
89958,57405,0.8730447728018033,false,89958,57405,0.8730447728018033
89958,2305,0.8424907520213618,false,89958,2305,0.8424907520213618
89958,100048912,0.8641779740188329,false,89958,100048912,0.8641779740188329
89958,4605,0.9100640158469115,false,89958,4605,0.9100640158469115
101927687,554279,0.8910557835133973,false,101927687,554279,0.8910557835133973
101927687,55423,0.8144627252012666,false,101927687,55423,0.8144627252012666
101927687,105376878,0.7834711083901498,false,101927687,105376878,0.7834711083901498
101927687,10481,1.0,false,101927687,10481,1.0
101927687,10309,0.755325954881007,false,101927687,10309,0.755325954881007
554279,55423,0.7886778165227061,false,554279,55423,0.7886778165227061
554279,105376878,0.7927467108209784,false,554279,105376878,0.7927467108209784
554279,10481,0.8910557835133973,false,554279,10481,0.8910557835133973
554279,10309,0.8024235842668387,false,554279,10309,0.8024235842668387
56896,1995,0.8418706850470944,false,56896,1995,0.8418706850470944
56896,101928658,0.7895566269252923,false,56896,101928658,0.7895566269252923
56896,100048912,0.7692637642556124,false,56896,100048912,0.7692637642556124
56896,347252,0.7626398502846973,false,56896,347252,0.7626398502846973
55423,3627,0.805929198438837,false,55423,3627,0.805929198438837
55423,245972,0.9162784808875937,false,55423,245972,0.9162784808875937
55423,105376878,0.7838104102494395,false,55423,105376878,0.7838104102494395
55423,10481,0.8144627252012666,false,55423,10481,0.8144627252012666
55423,10309,0.8506514973967704,false,55423,10309,0.8506514973967704
3627,245972,0.9211657339908165,false,3627,245972,0.9211657339908165
245972,105376878,0.851717571285122,false,245972,105376878,0.851717571285122
245972,10309,0.8827228162758076,false,245972,10309,0.8827228162758076
105376878,10481,0.7834711083901499,false,105376878,10481,0.7834711083901499
105376878,10309,0.8090453098342067,false,105376878,10309,0.8090453098342067
1995,101928658,0.9318397266689756,false,1995,101928658,0.9318397266689756
1995,100048912,0.9106195505611964,false,1995,100048912,0.9106195505611964
1995,347252,0.8514274756104269,false,1995,347252,0.8514274756104269
101928658,100048912,0.8961257681362949,false,101928658,100048912,0.8961257681362949
101928658,347252,0.8446896137948857,false,101928658,347252,0.8446896137948857
57405,2305,0.8253045407611206,false,57405,2305,0.8253045407611206
57405,4605,0.8556784558013275,false,57405,4605,0.8556784558013275
2305,4605,0.7896729694739015,false,2305,4605,0.7896729694739015
100048912,4605,0.7840038076863348,false,100048912,4605,0.7840038076863348
100048912,347252,0.8270491975221137,false,100048912,347252,0.8270491975221137
10481,10309,0.755325954881007,false,10481,10309,0.755325954881007
